"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"abesali1","Integer","","Recommended","Do certain unimportant things ever suddenly seem especially important or significant to you?","0;1","0=No; 1=Yes",""
"abesali2","Integer","","Recommended","Do you sometimes feel like you are on the verge of something really big, but you are not sure what it is?","0;1","0=No; 1=Yes",""
"abesali3","Integer","","Recommended","Do your senses sometimes seem sharpened?","0;1","0=No; 1=Yes",""
"abesali4","Integer","","Recommended","Do you ever feel like you are rapidly approaching the height of your intellectual powers?","0;1","0=No; 1=Yes",""
"abesali5","Integer","","Recommended","Do you sometimes notice small details that you have not noticed before that seem important?","0;1","0=No; 1=Yes",""
"abesali6","Integer","","Recommended","Do you sometimes feel like it is important for you to figure something out, but you are not sure what it is?","0;1","0=No; 1=Yes",""
"abesali7","Integer","","Recommended","Do you ever go through periods where you feel especially religious or mystical?","0;1","0=No; 1=Yes",""
"abesali8","Integer","","Recommended","Do you ever have difficulty telling if you are thrilled, frightened, pained, or anxious?","0;1","0=No; 1=Yes",""
"abesali9","Integer","","Recommended","Do you ever go through periods of heightened awareness?","0;1","0=No; 1=Yes",""
"abesali10","Integer","","Recommended","Do you ever feel the need to make sense of seemingly random situations or occurrences?","0;1","0=No; 1=Yes",""
"abesali11","Integer","","Recommended","Do you sometimes feel like you are finding the missing piece to a puzzle?","0;1","0=No; 1=Yes",""
"abesali12","Integer","","Recommended","Do you sometimes feel that you can hear with a greater clarity?","0;1","0=No; 1=Yes",""
"abesali13","Integer","","Recommended","Do you sometimes feel like you are an especially spiritually evolved person?","0;1","0=No; 1=Yes",""
"abesali14","Integer","","Recommended","Do normally trivial observations sometimes take on an ominous significance?","0;1","0=No; 1=Yes",""
"abesali15","Integer","","Recommended","Do you go through periods in which songs sometimes seem to have an important meaning for your life?","0;1","0=No; 1=Yes",""
"abesali16","Integer","","Recommended","Do you sometimes attribute importance to objects which you normally would not?","0;1","0=No; 1=Yes",""
"abesali17","Integer","","Recommended","Do you sometimes feel like you are on the verge of figuring out something really big or important, but you are not sure what it is?","0;1","0=No; 1=Yes",""
"abesali18","Integer","","Recommended","Has your sense of taste ever seemed more acute?","0;1","0=No; 1=Yes",""
"abesali19","Integer","","Recommended","Do you ever feel like the mysteries of the universe are revealing themselves to you?","0;1","0=No; 1=Yes",""
"abesali20","Integer","","Recommended","Do you go through periods in which you feel over-stimulated by things or experiences that are normally manageable?","0;1","0=No; 1=Yes",""
"abesali21","Integer","","Recommended","Do you often become fascinated by the little things around you?","0;1","0=No; 1=Yes",""
"abesali22","Integer","","Recommended","Do your senses ever seem extremely strong or clear?","0;1","0=No; 1=Yes",""
"abesali23","Integer","","Recommended","Do you ever feel like a whole world is opening up to you?","0;1","0=No; 1=Yes",""
"abesali24","Integer","","Recommended","Do you ever feel that your boundaries between inner and outer sensations have been removed?","0;1","0=No; 1=Yes",""
"abesali25","Integer","","Recommended","Do you sometimes feel like the world is changing and you are searching for an explanation?","0;1","0=No; 1=Yes",""
"abesali26","Integer","","Recommended","Do you ever have a feeling of inexpressible urgency, and you are not sure what to do?","0;1","0=No; 1=Yes",""
"abesali27","Integer","","Recommended","Have you sometimes become interested in people, events, places, or ideas that normally would not make an impression on you?","0;1","0=No; 1=Yes",""
"abesali28","Integer","","Recommended","Do your thoughts and perceptions ever come faster than can be assimilated?","0;1","0=No; 1=Yes",""
"abesali29","Integer","","Recommended","Do you sometimes notice things that you have not noticed before that take on a special significance?","0;1","0=No; 1=Yes",""
"abesali30","Integer","","Recommended","Do you ever perceive an overwhelming importance to things that are usually not important to you?","0;1","0=No; 1=Yes",""
