"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"sens_responsenegativetonoise","Integer","","Recommended","Auditory / Sounds: Responds negatively to unexpected or loud noises","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_makerepetitivenoise","Integer","","Recommended","Makes repetitive noises (ex. Humming)","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_nottohearyou","Integer","","Recommended","Appears not to hear what other people say","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_holdhandsoverears","Integer","","Recommended","Holds hands over ears","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_cantworkwithnoise","Integer","","Recommended","""Can't work with background noise (fan, refrigerator)""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_avoidbrightlight","Integer","","Recommended","Visual: Discomfort or avoids bright lights","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_lookintenselyatthings","Integer","","Recommended","Looks carefully or intensely at objects/people","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_hesitatewalkonsteps","Integer","","Recommended","Hesitates going up or down curbs or steps","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_avoideyecontacts","Integer","","Recommended","Avoids eye contact","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_deliberatesmellobjects","Integer","","Recommended","Taste: Deliberately smells objects","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_chewnonfood","Integer","","Recommended","Chews/licks nonfood items","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_anxiousfeetoffground","Integer","","Recommended","Movement: Becomes anxious or distressed when feet leave ground","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_fearheight","Integer","","Recommended","Fears falling or heights","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_avoidclimbjump","Integer","","Recommended","""Avoids climbing, jumping, bumpy or uneven ground""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_avoidmovingtoys","Integer","","Recommended","Avoids playground equipment or moving toys","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_rockunconsciously","Integer","","Recommended","""Rocks unconsciously during other activities (i.e., watching TV)""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sens_seekmovementactivity","Integer","","Recommended","""Seeks out movement activities (whirled by adults, merry-go-round)""","1;2;3;4;5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
