"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"aggression_1","Integer","","Recommended","I pushed or shoved other students.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_2","Integer","","Recommended","I called other students a bad name.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_3","Integer","","Recommended","I threatened to hurt or hit someone.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_4","Integer","","Recommended","I said things about other kids to make other students laugh.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_5","Integer","","Recommended","I slapped or kicked someone.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_6","Integer","","Recommended","I teased students to make them angry.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_7","Integer","","Recommended","I got angry very easily with someone.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_8","Integer","","Recommended","I fought back when someone hit me first.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_9","Integer","","Recommended","I encourage other students to fight.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_10","Integer","","Recommended","I was angry most of the day.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
"aggression_11","Integer","","Recommended","I got into a physical fight because I was angry.","0 :: 6","0= 0 times; 1= 1 time; 2= 2 times; 3= 3 times; 4= 4 times; 5= 5 times; 6= 6 times",""
