"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","asiagemos"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"gmic1_1","Integer","","Recommended","In last year, was there gang activity in your neighborhood?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing",""
"gmic1_2","Integer","","Recommended","In last year, were you approached by a gang member to join a gang?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing",""
"gmic1_3","Integer","","Recommended","In last year, were you beaten up by a gang member because you didn't want to join a gang?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing",""
"gmic1_4","Integer","","Recommended","In last year, did any of your friends join a gang?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing",""
"gmic1_5","Integer","","Recommended","In last year, did anyone in your household join a gang?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing",""
"gmic2_1","Integer","","Recommended","In last year, were you a member of a gang?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic2_6"
"gmic2_2","Integer","","Recommended","In last year, did you wear gang colors on purpose?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic2_7"
"gmic2_3","Integer","","Recommended","In last year, did you make gang hang signs on purpose?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic2_8"
"gmic2_4","Integer","","Recommended","In last year, did you take part in a fight representing a gang?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic2_9"
"gmic2_5","Integer","","Recommended","In last year, did you spray paint gang signs on a wall?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic2_10"
"gmic3_1","Integer","","Recommended","In last year, did you deliver drugs for a gang?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic3_11"
"gmic3_2","Integer","","Recommended","In last year, did you carry a weapon to protect yourself?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic3_12"
"gmic3_3","Integer","","Recommended","In last year, did you hurt a gang member in a fight?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic3_13"
"gmic3_4","Integer","","Recommended","In last year, did you sell drugs for a gang?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic3_14"
"gmic3_5","Integer","","Recommended","In last year, did you become a leader of a gang?","1;2;-99;77;88","1= Yes ; 2= No ; -99= N/A ; 77= Refused ; 88= Missing","gmic3_15"
