"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"h2a01","Integer","","Recommended","Increased compulsion to move","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a02","Integer","","Recommended","Mentally unsettled","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a03","Integer","","Recommended","Nervous","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a04","Integer","","Recommended","Pacing up and down my apartment/my room","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a05","Integer","","Recommended","Tense","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a06","Integer","","Recommended","Racing heart","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a07","Integer","","Recommended","Physically uneasy","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a08","Integer","","Recommended","Couldn't sit still","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a09","Integer","","Recommended","Shivering","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a10","Integer","","Recommended","Restless","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
"h2a11","Integer","","Recommended","Fidgety","0 :: 6","0 = not at all; 1 = rarely; 2 = sometimes; 3 = often; 4 = very often; 5 = almost always; 6 = always",""
