"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"loc_1","Integer","","Recommended","Do you believe that most problems will solve themselve if you just don't fool with them?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_2","Integer","","Recommended","Do you believe that you can stop yourself from catching a cold?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_3","Integer","","Recommended","Are some kids just born lucky?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_4","Integer","","Recommended","Most of the time do you feel that getting good grades means a great deal to you?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_5","Integer","","Recommended","Are you often blamed for things that just aren't your fault?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_6","Integer","","Recommended","Do you believe that if somebody studies hard enough he or she can pass any subject?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_7","Integer","","Recommended","Do you feel that most of the time it doesn't pay to try hard because things never turn out right anyway?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_8","Integer","","Recommended","Do you feel that if things start out well in the morning that it's going to be a good day no matter what you do?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_9","Integer","","Recommended","Do you feel that most of the time parents listen to what their children have to say?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_10","Integer","","Recommended","Do you believe that wishing can make good things happen?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_11","Integer","","Recommended","When you get punished does it usually seem its for no good reason at all?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_12","Integer","","Recommended","Most of the time do you find it hard to change a friend's (mind) opinion?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_13","Integer","","Recommended","Do you think that cheering more than luck helps a team to win?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_14","Integer","","Recommended","Do you feel that it's nearly impossible to change your parent's mind about anything?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_15","Integer","","Recommended","Do you believe that your parents should allow you to make most of your own decision?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_16","Integer","","Recommended","Do you feel that when you do something wrong there's very little you can do to make it right?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_17","Integer","","Recommended","Do you believe that most kids are just born good at sports?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_18","Integer","","Recommended","Are most of the other kids your age stronger than you are?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_19","Integer","","Recommended","Do you feel that one of the best ways to handle most problems is just not to think about them?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_20","Integer","","Recommended","Do you feel that you have a lot of choice in deciding who your friends are?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_21","Integer","","Recommended","If you find a four leaf clover do you believe that it might bring you good luck?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_22","Integer","","Recommended","Do you often feel that whether you do your homework has much to do with what kind of grades you get?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_23","Integer","","Recommended","Do you feel that when a kid your age decides to hit you, there's little you can do to stop him or her?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_24","Integer","","Recommended","Have you ever had a good luck charm?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_25","Integer","","Recommended","Do you believe that whether or not people like you depends on how you act?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_26","Integer","","Recommended","Will your parents usually help you if you ask them to?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_27","Integer","","Recommended","Have you felt that when people were mean to you it was usually for no reason at all?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_28","Integer","","Recommended","Most of the time, do you feel that you can change what might happen tomorrow by what you do today?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_29","Integer","","Recommended","Do you believe that when bad things are going to happen they just are going to happen no matter what you try to do to stop them?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_30","Integer","","Recommended","Do you think that kids can get their own way if they just keep trying?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_31","Integer","","Recommended","Most of the time do you find it useless to try to get your own way at home?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_32","Integer","","Recommended","Do you feel that when good things happen they happen because of hard work?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_33","Integer","","Recommended","Do you feel that when somebody your age wants to be your enemy there's little you can do to change matters?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_34","Integer","","Recommended","Do you feel that it's easy to get friends to do what you want them to?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_35","Integer","","Recommended","Do you usually feel that you have little to say about what you get to eat at home?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_36","Integer","","Recommended","Do you feel that when someone doesn't like you there's little you can do about it?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_37","Integer","","Recommended","Do you usually feel that it's almost useless to try in school because most other children are just plain smarter than you are?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_38","Integer","","Recommended","Are you the kind of person who believes that planning ahead makes things turn out better?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_39","Integer","","Recommended","Most of the time, do you feel that you have little to say about what your family decides to do?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"loc_40","Integer","","Recommended","Do you think it's better to be smart than to be lucky?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
