"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"osdt1","Integer","","Recommended","Oral Symbol Digit Test item 1","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt2","Integer","","Recommended","Oral Symbol Digit Test item 2","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt3","Integer","","Recommended","Oral Symbol Digit Test item 3","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt4","Integer","","Recommended","Oral Symbol Digit Test item 4","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt5","Integer","","Recommended","Oral Symbol Digit Test item 5","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt6","Integer","","Recommended","Oral Symbol Digit Test item 6","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt7","Integer","","Recommended","Oral Symbol Digit Test item 7","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt8","Integer","","Recommended","Oral Symbol Digit Test item 8","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt9","Integer","","Recommended","Oral Symbol Digit Test item 9","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt10","Integer","","Recommended","Oral Symbol Digit Test item 10","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt11","Integer","","Recommended","Oral Symbol Digit Test item 11","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt12","Integer","","Recommended","Oral Symbol Digit Test item 12","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt13","Integer","","Recommended","Oral Symbol Digit Test item 13","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt14","Integer","","Recommended","Oral Symbol Digit Test item 14","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt15","Integer","","Recommended","Oral Symbol Digit Test item 15","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt16","Integer","","Recommended","Oral Symbol Digit Test item 16","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt17","Integer","","Recommended","Oral Symbol Digit Test item 17","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt18","Integer","","Recommended","Oral Symbol Digit Test item 18","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt19","Integer","","Recommended","Oral Symbol Digit Test item 19","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt20","Integer","","Recommended","Oral Symbol Digit Test item 20","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt21","Integer","","Recommended","Oral Symbol Digit Test item 21","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt22","Integer","","Recommended","Oral Symbol Digit Test item 22","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt23","Integer","","Recommended","Oral Symbol Digit Test item 23","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt24","Integer","","Recommended","Oral Symbol Digit Test item 24","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt25","Integer","","Recommended","Oral Symbol Digit Test item 25","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt26","Integer","","Recommended","Oral Symbol Digit Test item 26","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt27","Integer","","Recommended","Oral Symbol Digit Test item 27","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt28","Integer","","Recommended","Oral Symbol Digit Test item 28","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt29","Integer","","Recommended","Oral Symbol Digit Test item 29","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt30","Integer","","Recommended","Oral Symbol Digit Test item 30","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt31","Integer","","Recommended","Oral Symbol Digit Test item 31","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt32","Integer","","Recommended","Oral Symbol Digit Test item 32","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt33","Integer","","Recommended","Oral Symbol Digit Test item 33","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt34","Integer","","Recommended","Oral Symbol Digit Test item 34","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt35","Integer","","Recommended","Oral Symbol Digit Test item 35","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt36","Integer","","Recommended","Oral Symbol Digit Test item 36","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt37","Integer","","Recommended","Oral Symbol Digit Test item 37","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt38","Integer","","Recommended","Oral Symbol Digit Test item 38","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt39","Integer","","Recommended","Oral Symbol Digit Test item 39","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt40","Integer","","Recommended","Oral Symbol Digit Test item 40","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt41","Integer","","Recommended","Oral Symbol Digit Test item 41","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt42","Integer","","Recommended","Oral Symbol Digit Test item 42","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt43","Integer","","Recommended","Oral Symbol Digit Test item 43","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt44","Integer","","Recommended","Oral Symbol Digit Test item 44","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt45","Integer","","Recommended","Oral Symbol Digit Test item 45","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt46","Integer","","Recommended","Oral Symbol Digit Test item 46","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt47","Integer","","Recommended","Oral Symbol Digit Test item 47","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt48","Integer","","Recommended","Oral Symbol Digit Test item 48","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt49","Integer","","Recommended","Oral Symbol Digit Test item 49","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt50","Integer","","Recommended","Oral Symbol Digit Test item 50","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt51","Integer","","Recommended","Oral Symbol Digit Test item 51","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt52","Integer","","Recommended","Oral Symbol Digit Test item 52","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt53","Integer","","Recommended","Oral Symbol Digit Test item 53","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt54","Integer","","Recommended","Oral Symbol Digit Test item 54","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt55","Integer","","Recommended","Oral Symbol Digit Test item 55","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt56","Integer","","Recommended","Oral Symbol Digit Test item 56","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt57","Integer","","Recommended","Oral Symbol Digit Test item 57","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt58","Integer","","Recommended","Oral Symbol Digit Test item 58","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt59","Integer","","Recommended","Oral Symbol Digit Test item 59","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt60","Integer","","Recommended","Oral Symbol Digit Test item 60","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt61","Integer","","Recommended","Oral Symbol Digit Test item 61","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt62","Integer","","Recommended","Oral Symbol Digit Test item 62","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt63","Integer","","Recommended","Oral Symbol Digit Test item 63","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt64","Integer","","Recommended","Oral Symbol Digit Test item 64","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt65","Integer","","Recommended","Oral Symbol Digit Test item 65","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt66","Integer","","Recommended","Oral Symbol Digit Test item 66","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt67","Integer","","Recommended","Oral Symbol Digit Test item 67","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt68","Integer","","Recommended","Oral Symbol Digit Test item 68","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt69","Integer","","Recommended","Oral Symbol Digit Test item 69","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt70","Integer","","Recommended","Oral Symbol Digit Test item 70","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt71","Integer","","Recommended","Oral Symbol Digit Test item 71","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt72","Integer","","Recommended","Oral Symbol Digit Test item 72","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt73","Integer","","Recommended","Oral Symbol Digit Test item 73","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt74","Integer","","Recommended","Oral Symbol Digit Test item 74","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt75","Integer","","Recommended","Oral Symbol Digit Test item 75","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt76","Integer","","Recommended","Oral Symbol Digit Test item 76","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt77","Integer","","Recommended","Oral Symbol Digit Test item 77","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt78","Integer","","Recommended","Oral Symbol Digit Test item 78","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt79","Integer","","Recommended","Oral Symbol Digit Test item 79","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt80","Integer","","Recommended","Oral Symbol Digit Test item 80","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt81","Integer","","Recommended","Oral Symbol Digit Test item 81","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt82","Integer","","Recommended","Oral Symbol Digit Test item 82","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt83","Integer","","Recommended","Oral Symbol Digit Test item 83","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt84","Integer","","Recommended","Oral Symbol Digit Test item 84","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt85","Integer","","Recommended","Oral Symbol Digit Test item 85","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt86","Integer","","Recommended","Oral Symbol Digit Test item 86","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt87","Integer","","Recommended","Oral Symbol Digit Test item 87","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt88","Integer","","Recommended","Oral Symbol Digit Test item 88","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt89","Integer","","Recommended","Oral Symbol Digit Test item 89","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt90","Integer","","Recommended","Oral Symbol Digit Test item 90","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt91","Integer","","Recommended","Oral Symbol Digit Test item 91","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt92","Integer","","Recommended","Oral Symbol Digit Test item 92","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt93","Integer","","Recommended","Oral Symbol Digit Test item 93","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt94","Integer","","Recommended","Oral Symbol Digit Test item 94","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt95","Integer","","Recommended","Oral Symbol Digit Test item 95","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt96","Integer","","Recommended","Oral Symbol Digit Test item 96","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt97","Integer","","Recommended","Oral Symbol Digit Test item 97","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt98","Integer","","Recommended","Oral Symbol Digit Test item 98","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt99","Integer","","Recommended","Oral Symbol Digit Test item 99","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt100","Integer","","Recommended","Oral Symbol Digit Test item 100","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt101","Integer","","Recommended","Oral Symbol Digit Test item 101","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt102","Integer","","Recommended","Oral Symbol Digit Test item 102","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt103","Integer","","Recommended","Oral Symbol Digit Test item 103","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt104","Integer","","Recommended","Oral Symbol Digit Test item 104","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt105","Integer","","Recommended","Oral Symbol Digit Test item 105","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt106","Integer","","Recommended","Oral Symbol Digit Test item 106","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt107","Integer","","Recommended","Oral Symbol Digit Test item 107","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt108","Integer","","Recommended","Oral Symbol Digit Test item 108","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt109","Integer","","Recommended","Oral Symbol Digit Test item 109","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt110","Integer","","Recommended","Oral Symbol Digit Test item 110","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt111","Integer","","Recommended","Oral Symbol Digit Test item 111","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt112","Integer","","Recommended","Oral Symbol Digit Test item 112","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt113","Integer","","Recommended","Oral Symbol Digit Test item 113","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt114","Integer","","Recommended","Oral Symbol Digit Test item 114","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt115","Integer","","Recommended","Oral Symbol Digit Test item 115","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt116","Integer","","Recommended","Oral Symbol Digit Test item 116","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt117","Integer","","Recommended","Oral Symbol Digit Test item 117","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
"osdt118","Integer","","Recommended","Oral Symbol Digit Test item 118","0;1;999","0= Incorrect; 1= Correct; 999= Did not reach this trial",""
