"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bmpn01","Integer","","Recommended","In the past three months, I felt a sense of contact with people who care for me, and whom I care for","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_care"
"bmpn02","Integer","","Recommended","In the past three months, I was lonely","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_lonely"
"bmpn03","Integer","","Recommended","In the past three months, I felt close and connected with other people who are important to me","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_important"
"bmpn04","Integer","","Recommended","In the past three months, I felt unappreciated by one or more important people","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_unappreciated"
"bmpn05","Integer","","Recommended","In the past three months, I felt a strong sense of closeness or intimacy with the people I spent time with","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_time"
"bmpn06","Integer","","Recommended","In the past three months, I had disagreements or conflicts with people I usually get along with","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_conflict"
"bmpn07","Integer","","Recommended","In the past three months, I was successfully completing difficult tasks and projects","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree",""
"bmpn08","Integer","","Recommended","In the past three months, I experienced some kind of failure, or was unable to do well at something","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree",""
"bmpn09","Integer","","Recommended","In the past three months, I took on and mastered hard challenges","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree",""
"bmpn10","Integer","","Recommended","In the past three months, I did something stupid, that made me feel incompetent","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree",""
"bmpn11","Integer","","Recommended","In the past three months, I did well even at the hard things","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree",""
"bmpn12","Integer","","Recommended","In the past three months, I struggled doing something I should be good at","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree",""
"bmpn13","Integer","","Recommended","In the past three months, I was free to do things my own way","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_free"
"bmpn14","Integer","","Recommended","In the past three months, I had a lot of pressures I could do without","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_pressure"
"bmpn15","Integer","","Recommended","In the past three months, My choices expressed my ""true self""","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_choices"
"bmpn16","Integer","","Recommended","In the past three months, There were people telling me what I had to do","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_telling"
"bmpn17","Integer","","Recommended","In the past three months, I was really doing what interests me","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_interest"
"bmpn18","Integer","","Recommended","In the past three months, I had to do things against my will","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_against"
"bmpn19","Integer","","Recommended","In the past three months, I felt like I was becoming ""who I really am""","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_becoming"
"bmpn20","Integer","","Recommended","In the past three months, I was uncertain about who I am and my purpose in the world","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_uncertain"
"bmpn21","Integer","","Recommended","In the past three months, I felt a deeper sense of purpose in life","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_purpose"
"bmpn22","Integer","","Recommended","In the past three months, I felt that my life was structured and predictable","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_structured"
"bmpn23","Integer","","Recommended","In the past three months, I was uneasy because I did not have a comfortable set of routines and habits","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_routine"
"bmpn24","Integer","","Recommended","In the past three months, I felt safe from threats and uncertainties","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_safe"
"bmpn25","Integer","","Recommended","In the past three months, I felt I was a person whose advice others seek out and follow","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_advice"
"bmpn26","Integer","","Recommended","In the past three months, I strongly influenced others beliefs and behaviors","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_influence"
"bmpn27","Integer","","Recommended","In the past three months, I didnt have a strong impact on what other people did","1 :: 4","1= Strongly Disagree; 2= Disagree; 3= Agree; 4= Strongly Agree","bmpn_impact"
