"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"brhn_1","Integer","","Recommended","How much do you think people risk harming themselves (physically or in other ways) if they use cigarettes every day?","1::4;9","1= No risk; 2= Slight risk; 3=  Moderate risk; 4= Great risk;9= Refuse to answer",""
"brhn_2","Integer","","Recommended","How much do you think people risk harming themselves (physically or in other ways) if they use electronic vapor products every day?","1::4;9","1= No risk; 2= Slight risk; 3=  Moderate risk; 4= Great risk;9= Refuse to answer",""
"brhn_3","Integer","","Recommended","How wrong do you think it is for someone your age to use electronic vapor products?","1::4;9","1= Very wrong; 2=Wrong; 3= A little wrong; 4= Not wrong; 9= Refuse to answer",""
"brhn_4","Integer","","Recommended","How wrong would most adults (over 21) in your neighborhood think it is for kids to use electronic vapor products?","1::4;9","1= Very wrong; 2=Wrong; 3= A little wrong; 4= Not wrong; 9= Refuse to answer",""
"brhn_5","Integer","","Recommended","How wrong do your parents or guardians feel it would be for you to use electronic vapor products?","1::4;9","1= Very wrong; 2=Wrong; 3= A little wrong; 4= Not wrong; 9= Refuse to answer",""
"brhn_6","Integer","","Recommended","How much do you think people risk harming themselves (physically or in other ways) if they drink alcohol sometimes?","1::4;9","1= No risk; 2= Slight risk; 3=  Moderate risk; 4= Great risk; 9= Refuse",""
"brhn_7","Integer","","Recommended","How wrong do you think it is for someone your age to drink alcohol sometimes?","1::4;9","1= Very wrong; 2=Wrong; 3= A little wrong; 4= Not wrong; 9= Refuse to answer",""
"brhn_8","Integer","","Recommended","How wrong would most adults in your neighborhood think it is for kids (younger than 21 years old) to drink alcohol?","1::4;9","1= Very wrong; 2=Wrong; 3= A little wrong; 4= Not wrong; 9= Refuse to answer",""
"brhn_9","Integer","","Recommended","How wrong do your parents or guardians feel it would be for you to drink alcohol?","1::4;9","1= Very wrong; 2=Wrong; 3= A little wrong; 4= Not wrong; 9= Refuse to answer",""
"brhn_10","Integer","","Recommended","How much do you think people risk harming themselves (physically or in other ways) if they use marijuana?","1::4;9","1= No risk; 2= Slight risk; 3=  Moderate risk; 4= Great risk; 9= Refuse",""
"brhn_11","Integer","","Recommended","How wrong do you think it is for someone your age to use marijuana?","1::4;9","1= Very wrong; 2=Wrong; 3= A little wrong; 4= Not wrong; 9= Refuse to answer",""
"brhn_12","Integer","","Recommended","How wrong would most adults (over 21) in your neighborhood think it is for kids younger than 21 years old to use marijuana?","1::4;9","1= Very wrong; 2=Wrong; 3= A little wrong; 4= Not wrong; 9= Refuse to answer",""
"brhn_13","Integer","","Recommended","How wrong do your parents or guardians feel it would be for you to use marijuana?","1::4;9","1= Very wrong; 2=Wrong; 3= A little wrong; 4= Not wrong; 9= Refuse to answer",""
