"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bees_ibqr_01","Integer","","Recommended","When being dressed or undressed during the last week, how often did the baby squirm and/or try to roll away?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_02","Integer","","Recommended","When tossed around playfully how often did the baby laugh?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_03","Integer","","Recommended","When tired, how often did your baby show distress?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_04","Integer","","Recommended","When introduced to an unfamiliar adult, how often did the baby cling to a parent?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_05","Integer","","Recommended","How often during the last week did the baby enjoy being read to?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_06","Integer","","Recommended","How often during the last week did the baby play with one toy or object for 5-10 minutes?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_07","Integer","","Recommended","How often during the week did your baby move quickly toward new objects?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_08","Integer","","Recommended","When put into the bath water, how often did the baby laugh?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_09","Integer","","Recommended","When it was time for bed or a nap and your baby did not want to go, how often did s/he whimper or sob?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
"bees_ibqr_10","Integer","","Recommended","After sleeping, how often did the baby cry if someone doesn't come within a few minutes?","1::7;999","1= Never; 2= Very Rarely; 3= Less Than Half the Time; 4= About Half the Time; 5= More Than Half the Time; 6= Almost Always; 7= Always; 999= Does Not Apply",""
