"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"imq_1","Integer","","Recommended","In the computer generated world I had a sense of being there.","-3 :: 3","0=0; 1=1; 2=2; 3= Very Much; -1=-1; -2=-2; -3= Not At All",""
"imq_2","Integer","","Recommended","Somehow I felt that the virtual world surrounded me.","-3 :: 3","0=0; 1=1; 2=2;3= Fully Agree; -1=-1; -2=-2; -3= Fully Disagree",""
"imq_3","Integer","","Recommended","I felt like I was just perceiving pictures.","-3 :: 3","0=0; 1=1; 2=2;3= Fully Agree; -1=-1; -2=-2; -3= Fully Disagree",""
"imq_4","Integer","","Recommended","I did not feel present in the virtual space.","-3 :: 3","0=0; 1=1; 2=2;3= Felt Present; -1=-1; -2=-2; -3= Did Not Feel Present",""
"imq_5","Integer","","Recommended","I had a sense of acting in the virtual space, rather than operating something from outside.","-3 :: 3","0=0; 1=1; 2=2;3= Fully Agree; -1=-1; -2=-2; -3= Fully Disagree",""
"imq_6","Integer","","Recommended","I felt present in the virtual space.","-3 :: 3","0=0; 1=1; 2=2;3= Fully Agree; -1=-1; -2=-2; -3= Fully Disagree",""
"imq_7","Integer","","Recommended","How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)?","-3 :: 3","0= Moderately Aware; 1=1; 2=2; 3= Not Aware At All; -1=-1; -2=-2; -3= Extremely Aware",""
"imq_8","Integer","","Recommended","I was not aware of my real environment.","-3 :: 3","0=0; 1=1; 2=2;3= Fully Agree; -1=-1; -2=-2; -3= Fully Disagree",""
"imq_9","Integer","","Recommended","I still paid attention to the real environment.","-3 :: 3","0=0; 1=1; 2=2;3= Fully Agree; -1=-1; -2=-2; -3= Fully Disagree",""
"imq_10","Integer","","Recommended","I was completely captivated by the virtual world.","-3 :: 3","0=0; 1=1; 2=2;3= Fully Agree; -1=-1; -2=-2; -3= Fully Disagree",""
"imq_11","Integer","","Recommended","(Real) How real did the virtual world seem to you?","-3 :: 3","0=0; 1=1; 2=2;3= Not At All Real; -1=-1; -2=-2; -3= Completely Real",""
"imq_12","Integer","","Recommended","How much did your experience in the virtual environment seem consistent with your real world experience?","-3 :: 3","0= Moderately Consistent; 1=1; 2=2; 3= Very Consistent; -1=-1; -2=-2; -3= Not Consistent",""
"imq_13","Integer","","Recommended","(Distinguishable) How real did the virtual world seem to you?","-3 :: 3","0=0; 1=1; 2=2;3= Indistinguishable from the real world; -1=-1; -2=-2; -3= About as real as an imagined world",""
"imq_14","Integer","","Recommended","The virtual world seemed more realistic than the real world.","-3 :: 3","0=0; 1=1; 2=2;3= Fully Agree; -1=-1; -2=-2; -3= Fully Disagree",""
