"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"co_01","Integer","","Recommended","I feel that I am very good at keeping my child amused.","0 :: 10","0= Not at all what I think; 10= Exactly what I think","co01"
"co_02","Integer","","Recommended","I feel that I am very good at keeping my child busy while I am doing other things.","0 :: 10","0= Not at all what I think; 10= Exactly what I think","co02"
"co_03","Integer","","Recommended","I have left my child alone in his/her bedroom when s/he was particularly irritable (for example grumpy, fussy, or having a tantrum).","0 :: 10","0= Not at all what I did; 10= Exactly what I did","co03"
"co_04","Integer","","Recommended","I feel that I am very good at attracting the attention of my child.","0 :: 10","0= Not at all what I think; 10= Exactly what I think","co04"
"co_05","Integer","","Recommended","When my child cries, s/he gets on my nerves.","0 :: 10","0= Not at all what I feel; 10= Exactly what I feel","co05"
"co_06","Integer","","Recommended","I have lost my temper when my child was particularly irritable (for example grumpy, fussy, or having a tantrum).","0 :: 10","0= Not at all what I did; 10= Exactly what I did","co06"
"co_07","Integer","","Recommended","I feel that I am very good at feeding my child, changing his/her diapers, and giving him/her a bath.","0 :: 10","0= Not at all what I think; 10= Exactly what I think","co07"
"co_08","Integer","","Recommended","I have shaken my child when s/he was particularly irritable (for example grumpy, fussy, or having a tantrum).","0 :: 10","0= Not at all what I did; 10= Exactly what I did","co08"
"co_09","Integer","","Recommended","I have been angry with my child when s/he was particularly irritable (for example grumpy, fussy, or having a tantrum).","0 :: 10","0= Not at all what I did; 10= Exactly what I did","co09"
"co_10","Integer","","Recommended","I have raised my voice with or shouted at my child when s/he was particularly irritable (for example grumpy, fussy, or having a tantrum).","0 :: 10","0= Not at all what I did; 10= Exactly what I did","co10"
"co_11","Integer","","Recommended","In general, I think I am a good mother.","0 :: 10","0= I am a very bad mother; 10= I am a very good mother","co11"
"co_12","Integer","","Recommended","I feel that I am very good at calming my child down when s/he is upset, fussy, or crying.","0 :: 10","0= Not at all what I think; 10= Exactly what I think","co12"
"co_13","Integer","","Recommended","I have spanked my child when s/he was particularly irritable (for example grumpy, fussy, or having a tantrum).","0 :: 10","0= Not at all what I did; 10= Exactly what I did","co13"
