"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"delq_1_y","Integer","","Recommended","","Have you hit someone with the idea of hurting them in the past year?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_1"
"delq_1a_y","Integer","","Recommended"," delq_1_y   == '1'","How many times in the past year have you hit someone with the idea of hurting them?","","","delq_1a"
"delq_ss_1a_y","Integer","","Recommended","","How many times in the past year have you hit someone with the idea of hurting them?"" If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_1a_y].","","","delq_ss_1a"
"delq_2_y","Integer","","Recommended","","Have you carried a hidden weapon in the past year?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_2"
"delq_2a_y","Integer","","Recommended"," delq_2_y   == '1'","How many times in the past year have you carried a hidden weapon?","","","delq_2a"
"delq_ss_2a_y","Integer","","Recommended","","How many times in the past year have you carried a hidden weapon? If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_2a_y].","","","delq_ss_2a"
"delq_3_y","Integer","","Recommended","","Have you thrown objects such as rocks or bottles at people in the past year?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_3"
"delq_3a_y","Integer","","Recommended"," delq_3_y   == '1'","How many times in the past year have you thrown objects such as rocks or bottles at people?","","","delq_3a"
"delq_ss_3a_y","Integer","","Recommended","","How many times in the past year have you thrown objects such as rocks or bottles at people? If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_3a_y].","","","delq_ss_3a"
"delq_4_y","Integer","","Recommended","","Have you been involved in a gang fight in the past year?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_4"
"delq_4a_y","Integer","","Recommended"," delq_4_y   == '1'","How many times in the past year have you been involved in a gang fight?","","","delq_4a"
"delq_ss_4a_y","Integer","","Recommended","","How many times in the past year have you been involved in a gang fight?

If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_4a_y].","","","delq_ss_4a"
"delq_5_y","Integer","","Recommended","","Have you taken something from a store without paying for it in the past year?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_5"
"delq_5a_y","Integer","","Recommended"," delq_5_y   == '1'","How many times in the past year have you taken something from a store without paying for it?","","","delq_5a"
"delq_ss_5a_y","Integer","","Recommended","","How many times in the past year have you taken something from a store without paying for it?

If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_5a_y].","","","delq_ss_5a"
"delq_6_y","Integer","","Recommended","","Have you stolen or tried to steal things worth $5 or less in the past year?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_6"
"delq_6a_y","Integer","","Recommended"," delq_6_y   == '1'","How many times in the past year have you stolen or tried to steal things worth $5 or less?","","","delq_6a"
"delq_ss_6a_y","Integer","","Recommended","","How many times in the past year have you stolen or tried to steal things worth $5 or less?

If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_6a_y].","","","delq_ss_6a"
"delq_7_y","Integer","","Recommended"," event_name_number   == '11'","Have you purposely damaged or destroyed property in the past year that did not belong to you, for example, painting, breaking, cutting, or marking up something?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_7"
"delq_7a_y","Integer","","Recommended"," delq_7_y   == '1'","How many times in the past year have you purposely damaged or destroyed property that did not belong to you?","","","delq_7a"
"delq_ss_7a_y","Integer","","Recommended","","How many times in the past year have you purposely damaged or destroyed property that did not belong to you?

If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_7a_y].","","","delq_ss_7a"
"delq_8_y","Integer","","Recommended","","Have you stolen or tried to steal things worth between $5 and $50 in the past year?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_8"
"delq_8a_y","Integer","","Recommended"," delq_8_y   == '1'","How many times in the past year have you stolen or tried to steal things worth between $5 and $50?","","","delq_8a"
"delq_ss_8a_y","Integer","","Recommended","","How many times in the past year have you stolen or tried to steal things worth between $5 and $50?

If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_8a_y].","","","delq_ss_8a"
"delq_9_y","Integer","","Recommended","","Have you been loud, rowdy, or unruly in a public place in the past year so that people complained about it or you got in trouble?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_9"
"delq_9a_y","Integer","","Recommended"," delq_9_y   == '1'","How many times in the past year have you been loud, rowdy, or unruly in a public place so that people complained about it or you got in trouble?","","","delq_9a"
"delq_ss_9a_y","Integer","","Recommended","","How many times in the past year have you been loud, rowdy, or unruly in a public place so that people complained about it or you got in trouble?

If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_9a_y].","","","delq_ss_9a"
"delq_10_y","Integer","","Recommended","","Have you been arrested or picked up by the police in the past year for other than a minor traffic offense?"," 0 ; 1; 999"," 1 = Yes; 0 = No; 999 = Don't know","delq_10"
"delq_10a_y","Integer","","Recommended"," delq_10_y   == '1'","How many times in the past year have you been arrested or picked up by the police for other than a minor traffic offense?","","","delq_10a"
"delq_ss_10a_y","Integer","","Recommended","","How many times in the past year have you been arrested or picked up by the police for other than a minor traffic offense?

If yes is endorsed, youth is then asked ""How many times."" If no is endorsed, ""0"" has replaced missing [delq_10a_y].","","","delq_ss_10a"
"delq_1a_y_dk","Integer","","Recommended"," delq_1_y == 1 && isNULL(delq_1a_y)","How many times in the past year have you hit someone with the idea of hurting them?","999","999 = Don't Know",""
"delq_2a_y_dk","Integer","","Recommended"," delq_2_y == 1 && isNULL(delq_2a_y)","How many times in the past year have you carried a hidden weapon?","999","999 = Don't Know",""
"delq_3a_y_dk","Integer","","Recommended"," delq_3_y == 1 && isNULL(delq_3a_y)","How many times in the past year have you thrown objects such as rocks or bottles at people?","999","999 = Don't Know",""
"delq_4a_y_dk","Integer","","Recommended"," delq_4_y == 1 && isNULL(delq_4a_y)","How many times in the past year have you been involved in a gang fight?","999","999 = Don't Know",""
"delq_5a_y_dk","Integer","","Recommended"," delq_5_y == 1 && isNULL(delq_5a_y)","How many times in the past year have you taken something from a store without paying for it?","999","999 = Don't Know",""
"delq_6a_y_dk","Integer","","Recommended"," delq_6_y == 1 && isNULL(delq_6a_y)","How many times in the past year have you stolen or tried to steal things worth $5 or less?","999","999 = Don't Know",""
