"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mista_1","Integer","","Recommended","I pull my hair when I am concentrating on another activity.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_2","Integer","","Recommended","I pull my hair when I am thinking about something unrelated to hair pulling.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_3","Integer","","Recommended","I am in an almost ''trance-like'' state when I pull my hair.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_4","Integer","","Recommended","I have thoughts about wanting to pull my hair before I actually pull.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_5","Integer","","Recommended","I use tweezers or some other device other than my fingers to pull my hair.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_6","Integer","","Recommended","I pull my hair while I am looking in the mirror.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_7","Integer","","Recommended","I am usually not aware of pulling my hair during a pulling episode.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_8","Integer","","Recommended","I pull my hair when I am anxious or upset.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_9","Integer","","Recommended","I intentionally start pulling my hair.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_10","Integer","","Recommended","I pull my hair when I am experiencing a negative emotion, such as stress, anger, frustration, or sadness.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_11","Integer","","Recommended","I have a ''strange'' sensation just before I pull my hair.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_12","Integer","","Recommended","I don't notice that I have pulled my hair until after it's happened.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_13","Integer","","Recommended","I pull my hair because of something that has happened to me during the day.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_14","Integer","","Recommended","I pull my hair to get rid of an unpleasant urge, feeling, or thought.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
"mista_15","Integer","","Recommended","I pull my hair to control how I feel.","0::9","0=Not true for any of my pulling; 9=True for all of my pulling",""
