"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"is_pal01","Integer","","Recommended","Please answer this question about yourself in the past year. I easily fly off the handle with people who don't want to listen or understand.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal02","Integer","","Recommended","Please answer this question about yourself in the past year. I am often in a bad mood.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal03","Integer","","Recommended","Please answer this question about yourself in the past year. Usually when someone shows a lack of respect for me, I let it go by.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal04","Integer","","Recommended","Please answer this question about yourself in the past year. I have never been touchy.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal05","Integer","","Recommended","Please answer this question about yourself in the past year. It makes me really mad when somebody makes fun of me.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal06","Integer","","Recommended","Please answer this question about yourself in the past year. I think I have a lot of patience.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal07","Integer","","Recommended","Please answer this question about yourself in the past year. When I am irritated or angry I need to show my feelings immediately.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal08","Integer","","Recommended","Please answer this question about yourself in the past year. When I am tired I easily lose control.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal09","Integer","","Recommended","Please answer this question about yourself in the past year. I think I am rather touchy.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal10","Integer","","Recommended","Please answer this question about yourself in the past year. When I am irritated, I can't talk calmly with other people.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal11","Integer","","Recommended","Please answer this question about yourself in the past year. I could not fight or argue with anyone.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal12","Integer","","Recommended","Please answer this question about yourself in the past year. I can't think of any good reason for fighting.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal13","Integer","","Recommended","Please answer this question about yourself in the past year. I often feel like a powder keg ready to explode.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal14","Integer","","Recommended","Please answer this question about yourself in the past year. I seldom strike back even if someone hits me first.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal15","Integer","","Recommended","Please answer this question about yourself in the past year. I can't help being a little rude to people I don't like.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal16","Integer","","Recommended","Please answer this question about yourself in the past year. Sometimes when I am angry I lose control over my actions (behavior).","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal17","Integer","","Recommended","Please answer this question about yourself in the past year. I do not know of anyone who would want to harm me.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal18","Integer","","Recommended","Please answer this question about yourself in the past year. Sometimes I really want to pick a fight.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal19","Integer","","Recommended","Please answer this question about yourself in the past year. I do not like to make practical jokes.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
"is_pal20","Integer","","Recommended","Please answer this question about yourself in the past year. When I am right, I am right.","0::4","0 = strongly agree; 1 = agree; 2 = neither agree nor disagree; 3 = disagree; 4 = strongly disagree",""
