"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"psat_1","Integer","","Recommended","Environmental Support: Champions exist who strongly support the program.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_2","Integer","","Recommended","Environmental Support: The program has strong champions with the ability to garner resources.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_3","Integer","","Recommended","Environmental Support: The program has leadership support from within the larger organization.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_4","Integer","","Recommended","Environmental Support: The program has leadership support from outside of the organization.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_5","Integer","","Recommended","Environmental Support: The program has strong public support.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_6","Integer","","Recommended","Funding Stability: The program exists in a supportive state economic climate.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_7","Integer","","Recommended","Funding Stability: The program implements policies to help ensure sustained funding.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_8","Integer","","Recommended","Funding Stability: The program is funded through a variety of sources.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_9","Integer","","Recommended","Funding Stability: The program has a combination of stable and flexible funding.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_10","Integer","","Recommended","Funding Stability: The program has sustained funding.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_11","Integer","","Recommended","Partnerships: Diverse community organizations are invested in the success of the program.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_12","Integer","","Recommended","Partnerships: The program communicates with community leaders.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_13","Integer","","Recommended","Partnerships: Community leaders are involved with the program.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_14","Integer","","Recommended","Partnerships: Community members are passionately committed to the program.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_15","Integer","","Recommended","Partnerships: The community is engaged in the development of program goals.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_16","Integer","","Recommended","Organizational Capacity: The program is well integrated into the operations of the organization.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_17","Integer","","Recommended","Organizational Capacity: Organizational systems are in place to support the various program needs.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_18","Integer","","Recommended","Organizational Capacity: Leadership effectively articulates the vision of the program to external partners.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_19","Integer","","Recommended","Organizational Capacity: Leadership efficiently manages staff and other resources.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_20","Integer","","Recommended","Organizational Capacity: The program has adequate staff to complete the program's goals.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_21","Integer","","Recommended","Program Evaluation: The program has the capacity for quality program evaluation.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_22","Integer","","Recommended","Program Evaluation: The program reports short term and intermediate outcomes.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_23","Integer","","Recommended","Program Evaluation: Evaluation results inform program planning and implementation.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_24","Integer","","Recommended","Program Evaluation: Program evaluation results are used to demonstrate successes to funders and other key stakeholders.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_25","Integer","","Recommended","Program Evaluation: The program provides strong evidence to the public that the program works.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_26","Integer","","Recommended","Program Adaptation: The program periodically reviews the evidence base.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_27","Integer","","Recommended","Program Adaptation: The program adapts strategies as needed.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_28","Integer","","Recommended","Program Adaptation: The program adapts to new science.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_29","Integer","","Recommended","Program Adaptation: The program proactively adapts to changes in the environment.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_30","Integer","","Recommended","Program Adaptation: The program makes decisions about which components are ineffective and should not continue.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_31","Integer","","Recommended","Communications: The program has communication strategies to secure and maintain public support.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_32","Integer","","Recommended","Communications: Program staff communicate the need for the program to the public.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
"psat_33","Integer","","Recommended","Communications: The program is marketed in a way that generates interest.","1::7; 88; 99","1 = To little or no extent; 7 = To a very great extent; 88 = Not able to answer; 99 = Missing",""
