"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cmbq_1","Integer","","Recommended","How I feel is completely dictated by the things that happen to me in my life.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_2","Integer","","Recommended","My feelings are entirely determined by peoples' actions towards me.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_3","Integer","","Recommended","My feelings are completely controlled by the situation I am in.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_4","Integer","","Recommended","My emotions are entirely caused by what people do around me.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_5","Integer","","Recommended","My emotions are caused entirely by others' actions towards me.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_6","Integer","","Recommended","My emotions are caused entirely by the things that happen to me.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_7","Integer","","Recommended","What happens to me entirely dictates how I feel.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_8","Integer","","Recommended","My emotions are completely dictated by what happens to me.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_9","Integer","","Recommended","To change how I feel, my thoughts about the situation need to change.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_10","Integer","","Recommended","To change how I feel, I need to change what I think about things around me.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_11","Integer","","Recommended","Thinking differently about the situation will change how I feel.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_12","Integer","","Recommended","To change how I feel, I can change my thoughts about the situation.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_13","Integer","","Recommended","I can change my emotions by changing how I think about the situation.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_14","Integer","","Recommended","Because I can choose to think differently, I can choose to feel differently about the situation.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"cmbq_15","Integer","","Recommended","To control my emotions, I need to change the way I think.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
