"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bses1","Integer","","Recommended","I can always hold my baby comfortably during breastfeeding","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses2","Integer","","Recommended","I can always position my baby correctly at my breast","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses3","Integer","","Recommended","I can always focus on getting through one feed at a time","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses4","Integer","","Recommended","I can always recognize the signs of a good latch","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses5","Integer","","Recommended","I can always take my baby off the breast without pain to myself","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses6","Integer","","Recommended","I can always determine that my baby is getting enough milk","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses7","Integer","","Recommended","I can always successfully cope with breastfeeding like I have with other challenging tasks","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses8","Integer","","Recommended","I can always depend on my family to support my decision to breastfeed","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses9","Integer","","Recommended","I can always motivate myself to breastfeed successfully","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses10","Integer","","Recommended","I can always monitor how much breast milk my baby is getting by keeping track of my baby's urine and bowel movement","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses11","Integer","","Recommended","I can always breastfeed my baby without formula as supplement","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses12","Integer","","Recommended","I can always ensure that my baby is properly latched on for the whole feeding","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses13","Integer","","Recommended","I can always manage the breastfeeding situation to my satisfaction","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses14","Integer","","Recommended","I can always manage to breastfeed even if my baby is crying","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses15","Integer","","Recommended","I can always keep my baby awake at my breast during a feeding","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses16","Integer","","Recommended","I can always maintain my milk supply by using the 'supply and demand' rule","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses17","Integer","","Recommended","I can always refrain from bottle feeding for the first 4 weeks","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses18","Integer","","Recommended","I can always feed my baby with breast milk only","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses19","Integer","","Recommended","I can always stay motivated to breastfeed my baby","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses20","Integer","","Recommended","I can always count on my friends to support my decision to breastfeed","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses21","Integer","","Recommended","I can always keep wanting to breastfeed","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses22","Integer","","Recommended","I can always feed my baby ever 2-3 hours","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses23","Integer","","Recommended","I can always keep feeling that I really want to breastfeed my baby for at least 6 weeks","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses24","Integer","","Recommended","I can always comfortably breastfeed with my family members present","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses25","Integer","","Recommended","I can always be satisfied with my breastfeeding experience","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses26","Integer","","Recommended","I can always comfortably breastfeed in public places","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses27","Integer","","Recommended","I can always deal with the fact that breastfeeding can be time-consuming","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
"bses28","Integer","","Recommended","I can always finish feeding my baby on one breast before switching to the other breast","1::5","1=Not at all confident; 2=Not very confident; 3=Sometimes confident; 4=Confident; 5=Very confident",""
