"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"exd_1","Integer","","Recommended","I exercise to avoid feeling irritable","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_2","Integer","","Recommended","I exercise despite recurring physical problems","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_3","Integer","","Recommended","I continually increase my exercise intensity to achieve the desired effects/benefits","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_4","Integer","","Recommended","I am unable to reduce how long I exercise","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_5","Integer","","Recommended","I would rather exercise than spend time with family/friends","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_6","Integer","","Recommended","I spend a lot of time exercising","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_7","Integer","","Recommended","I exercise longer than I intend","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_8","Integer","","Recommended","I exercise to avoid feeling anxious","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_9","Integer","","Recommended","I exercise when injured","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_10","Integer","","Recommended","I continually increase my exercise frequency to achieve the desired effects/benefits","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_11","Integer","","Recommended","I am unable to reduce how often I exercise","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_12","Integer","","Recommended","I think about exercise when I should be concentrating on school/work","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_13","Integer","","Recommended","I spend most of my free time exercising","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_14","Integer","","Recommended","I exercise longer than I expect","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_15","Integer","","Recommended","I exercise to avoid feeling tense","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_16","Integer","","Recommended","I exercise despite persistent physical problems","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_17","Integer","","Recommended","I continually increase my exercise duration to achieve the desired effects/benefits","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_18","Integer","","Recommended","I am unable to reduce how intense I exercise","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_19","Integer","","Recommended","I choose to exercise so that I can get out of spending time with family/friends","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_20","Integer","","Recommended","A great deal of my time  is spent exercising","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
"exd_21","Integer","","Recommended","I exercise longer than I plan","1::6","1 =  Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always",""
