"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dbas_long_01","Integer","","Recommended","Need 8 hours of sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_02","Integer","","Recommended","Need to catch up on sleep loss.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_03","Integer","","Recommended","Need less sleep because getting older.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_04","Integer","","Recommended","Worried about nervous breakdown.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_05","Integer","","Recommended","Consequences of insomnia on health.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_06","Integer","","Recommended","More time in bed insures more sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_07","Integer","","Recommended","Trying harder will lead to sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_08","Integer","","Recommended","Fear of losing control of sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_09","Integer","","Recommended","Should go to bed earlier because of aging.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_10","Integer","","Recommended","Insomnia interferes with daytime functioning.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_11","Integer","","Recommended","Better taking sleeping pills.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_12","Integer","","Recommended","Mood disturbances due to insomnia.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_13","Integer","","Recommended","Should sleep as well as bed partner.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_14","Integer","","Recommended","Insomnia as the result of aging.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_15","Integer","","Recommended","Afraid of dying in sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_16","Integer","","Recommended","Will have to pay after a good night.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_17","Integer","","Recommended","One poor night disturbs whole week.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_18","Integer","","Recommended","Cannot function without a good night.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_19","Integer","","Recommended","Sleep is unpredictable.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_20","Integer","","Recommended","Unable to manage consequences.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_21","Integer","","Recommended","Lack of energy due to poor sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_22","Integer","","Recommended","No control over nocturnal thoughts.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_23","Integer","","Recommended","Can still lead satisfactory life.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_24","Integer","","Recommended","Insomnia resulting from chemical imbalance.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_25","Integer","","Recommended","Insomnia destroying life.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_26","Integer","","Recommended","Alcohol as a solution.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_27","Integer","","Recommended","Medication as a solution.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_28","Integer","","Recommended","Sleep is getting worst all the time.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_29","Integer","","Recommended","Shows in physical appearance.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_long_30","Integer","","Recommended","Cancel obligations.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_01","Integer","","Recommended","I need 8 hours of sleep to feel refreshed and function well during the day.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_02","Integer","","Recommended","When I do not get proper amount of sleep on a given night, I need to catch up on the next day by napping or on the next night by sleeping longer.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_03","Integer","","Recommended","I am concerned that chronic insomnia may have serious consequences on my physical health.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_04","Integer","","Recommended","I am worried that I may lose control over my abilities to sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_05","Integer","","Recommended","After a poor nights sleep, I know that it will interfere with my daily activities on the next day.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_06","Integer","","Recommended","In order to be alert and function well during the day, I believe I would be better off taking a sleeping pill rather than having a poor nights sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_07","Integer","","Recommended","When I feel irritable, depressed, or anxious during the day, it is mostly because I did not sleep well the night before.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_08","Integer","","Recommended","When I sleep poorly on one night, I know it will disturb my sleep schedule for the whole week.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_09","Integer","","Recommended","Without an adequate nights sleep, I can hardly function the next day.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_10","Integer","","Recommended","I cannot ever predict whether I will have a good or poor nights sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_11","Integer","","Recommended","I have little ability to manage the negative consequences of disturbed sleep.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
"dbas_short_12","Integer","","Recommended","When I feel tired, have no energy, or just seem not to function well during the day, it is generally because I did not sleep well the night before.","0 :: 10","0= Strongly Disagree; 10= Strongly Agree",""
