"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"idq_1","Integer","","Recommended","Intention - I will take data at regular intervals with the child I work with","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"idq_2a","Integer","","Recommended","Attitude - Taking data at regular intervals on the child I work with would be","1::7","1 = Good; 7 = Bad",""
"idq_2b","Integer","","Recommended","Attitude - Taking data at regular intervals on the child I work with would be","1::7","1 = Beneficial; 7 = Harmful",""
"idq_3a","Integer","","Recommended","Perceived Norms - My supervisor thinks I should take data at regular intervals on the child I work with","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"idq_3b","Integer","","Recommended","Perceived Norms - Most Therapeutic Support Staff (TSS)/Behavioral Health Technicians (BHT) who are like me take data at regular intervals on the children they work with","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"idq_4a","Integer","","Recommended","Self-efficacy/Perceived Control - If I really wanted to, I could take data at regular intervals on the child I work with","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"idq_4b","Integer","","Recommended","Self-efficacy/Perceived Control - Taking data at regular intervals on the child I work with is completely up to me","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q8_agen_se_want","Integer","","Recommended","If I wanted to, I could set an agenda with each of my clients receiving CBT","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q9_agen_se_skills","Integer","","Recommended","I have the skills needed to set an agenda with each of my clients receiving CBT","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q10_agen_int","Integer","","Recommended","I intend to set an agenda with each of my clients receiving CBT","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q11_agen_int_likely","Integer","","Recommended","How likely is it that you will set an agenda with each of your clients receiving CBT?","1::7","1 = Very Unlikely; 7 = Very Likely",""
"q12_prog_se_time","Integer","","Recommended","It would be hard to find the time needed to measure or review my client''s progress with them","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q13_prog_norm_client","Integer","","Recommended","Most of my clients would want me to measure or review their progress with them","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q14_prog_norm_superv","Integer","","Recommended","My supervisor would want me to measure or review their progress with them","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q15_prog_se_uptome","Integer","","Recommended","It is up to me whether I measure or review their progress with them","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q16_prog_norm_clini","Integer","","Recommended","Most other clinicians like me probably measure or review their progress with them","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q17_prog_att_stress","Integer","","Recommended","Measuring or reviewing my client''s progress with them would be stressful for me","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q18_prog_att_useful","Integer","","Recommended","Measuring or reviewing my client''s progress with them would be clinically useful","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q19_prog_se_want","Integer","","Recommended","If I wanted to, I could measure or review their progress with them","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q20_prog_se_skills","Integer","","Recommended","I have the skills needed to measure or review their progress with them","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q21_prog_int","Integer","","Recommended","I intend to measure or review their progress with them","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q22_prog_int_likely","Integer","","Recommended","How likely is it that you will measure or review their progress with them?","1::7","1 = Very Unlikely; 7 = Very Likely",""
"q23_revhw_se_time","Integer","","Recommended","It would be hard to find the time needed to review homework with each of my clients receiving CBT","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q24_revhw_norm_client","Integer","","Recommended","Most of my clients would want me to review homework in most sessions with them","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q25_revhw_norm_superv","Integer","","Recommended","My supervisor would want me to review homework in most of my CBT sessions","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q26_revhw_se_uptome","Integer","","Recommended","It is up to me whether I review homework with each of my clients receiving CBT","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q27_revhw_norm_clini","Integer","","Recommended","Most other clinicians like me probably review homework in most of my CBT sessions","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q1_agen_se_time","Integer","","Recommended","It would be hard to find the time needed to set an agenda at the beginning of most CBT sessions","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q28_revhw_att_stress","Integer","","Recommended","Reviewing homework at the beginning of CBT sessions would be stressful for me","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q29_revhw_att_useful","Integer","","Recommended","Reviewing homework at the beginning of CBT sessions would be clinically useful","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q30_revhw_se_want","Integer","","Recommended","If I wanted to, I could review homework with each of my clients receiving CBT","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q31_revhw_se_skills","Integer","","Recommended","I have the skills needed to review homework with each of my clients receiving CBT","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"q32_revhw_int","Integer","","Recommended","I intend to review homework with each of my clients receiving CBT","1::7","1 = Strongly disagree; 7 = Strongly agree",""
