"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"gbs_1a","Integer","","Recommended","Has anyone TEASED YOU or CALLED YOU NAMES recently?","0;1","0 = No; 1 = Yes",""
"gbs_1b","Integer","","Recommended","Has anyone TEASED YOU or CALLED YOU NAMES recently? YES How often?","1::3","1 = Most days; 2 = About once a week; 3 = Less than once a week",""
"gbs_1c","Integer","","Recommended","How upsetting was it when you were teased?","1::3","1 = Not at all; 2 = A bit; 3 = I was quite upset",""
"gbs_2a","Integer","","Recommended","Has anyone spread RUMOURS ABOUT YOU recently?","0;1","0 = No; 1 = Yes",""
"gbs_2b","Integer","","Recommended","Has anyone spread RUMOURS ABOUT YOU recently? YES How often?","1::3","1 = Most days; 2 = About once a week; 3 = Less than once a week",""
"gbs_2c","Integer","","Recommended","How upsetting were the rumours?","1::3","1 = Not at all; 2 = A bit; 3 = I was quite upset",""
"gbs_3a","Integer","","Recommended","Have you been DELIBERATELY LEFT OUT OF THINGS recently?","0;1","0 = No; 1 = Yes",""
"gbs_3b","Integer","","Recommended","Have you been DELIBERATELY LEFT OUT OF THINGS recently? YES How often?","1::3","1 = Most days; 2 = About once a week; 3 = Less than once a week",""
"gbs_3c","Integer","","Recommended","How upsetting was it being left out of things?","1::3","1 = Not at all; 2 = A bit; 3 = I was quite upset",""
"gbs_4a","Integer","","Recommended","Have you been THREATENED PHYSICALLY OR ACTUALLY HURT by another student recently?","0;1","0 = No; 1 = Yes",""
"gbs_4b","Integer","","Recommended","Have you been THREATENED PHYSICALLY OR ACTUALLY HURT by another student recently? YES How often?","1::3","1 = Most days; 2 = About once a week; 3 = Less than once a week",""
"gbs_4c","Integer","","Recommended","How upsetting was it being threatened or hurt?","1::3","1 = Not at all; 2 = A bit; 3 = I was quite upset",""
"gbs_4b_3mo","Integer","","Recommended","Have you been physically or actually hurt by anyone in the past 3 months? If yes, how often?","1::3","1=Most days; 2=About once a week; 3=Less than once a week",""
"gbs_1a_3mo","Integer","","Recommended","Has anyone teased you or called you names in the past 3 months?","0;1","0=No; 1=Yes",""
"gbs_1b_3mo","Integer","","Recommended","Has anyone teased you or called you names in the past 3 months? If yes, how often?","1::3","1=Most days; 2=About once a week; 3=Less than once a week",""
"gbs_2a_3mo","Integer","","Recommended","Has anyone spread rumors about you in the past 3 months?","0;1","0=No; 1=Yes",""
"gbs_2b_3mo","Integer","","Recommended","Has anyone spread rumors about you in the past 3 months? If yes, how often?","1::3","1=Most days; 2=About once a week; 3=Less than once a week",""
"gbs_3a_3mo","Integer","","Recommended","Have you been deliberately left out of things in the past 3 months?","0;1","0=No; 1=Yes",""
"gbs_3b_3mo","Integer","","Recommended","Have you been deliberately left out of things in the past 3 months? If yes, how often?","1::3","1=Most days; 2=About once a week; 3=Less than once a week",""
"gbs_4a_3mo","Integer","","Recommended","Have you been physically or actually hurt by anyone in the past 3 months?","0;1","0=No; 1=Yes",""
