"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"pctqp_1","Integer","","Recommended","I know people who have thought about using computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_2","Integer","","Recommended","I have heard of computerized therapy before now.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_3","Integer","","Recommended","I would feel more comfortable using computerized therapy than other treatments.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_4","Integer","","Recommended","I like that computerized therapy is anonymous.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_5","Integer","","Recommended","Using computerized therapy makes it easier to get therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_6","Integer","","Recommended","I have a positive attitude about computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_7","Integer","","Recommended","I want to try computerized therapy before using it as treatment.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_8","Integer","","Recommended","I have seen an ad for computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_9","Integer","","Recommended","I have tried computerized therapy programs.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_10","Integer","","Recommended","I plan to use computerized therapy in the future.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_11","Integer","","Recommended","Computerized therapy would improve my mental health.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_12","Integer","","Recommended","I could use computerized therapy before using it as treatment.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_13","Integer","","Recommended","Using computerized therapy fits with my lifestyle.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_14","Integer","","Recommended","Computerized therapy is cheaper than other treatments.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
"pctqp_15","Integer","","Recommended","My doctor has told me about computerized therapy.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree a Little; 4= Neither Agree nor Disagree; 5= Agree a Little; 6= Agree; 7= Strongly Agree",""
