"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","CandidateGUID,GUID"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","IBISID,ssidn00,ssidno00,subj"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","Date_taken,IBQRDate,ibq_doc,ssibqdat03,ssibqdat06,ssibqdat09,ssibqrdat"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","Candidate_Age,Candidate_Age_in_Months,etimos00"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,ssgndr"
"ibqrfe001","Integer","","Recommended","1. lie or sit quietly","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq2_ibq2_2,ibq4_12,ibqmat4,ibqrdq01,q_1"
"ibqrfe002","Integer","","Recommended","2. squirm or kick","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq2_ibq2_3,ibq5_12,ibqmat5,ibqrdq02,q_2"
"ibqrfe003","Integer","","Recommended","3. wave arms","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq3_2,ibq6_12,ibqmat6,ibqrdq03,q_3"
"ibqrfe004","Integer","","Recommended","4. notice lumpy texture in food","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq04,q_4"
"ibqrfe005","Integer","","Recommended","5. seem to enjoy the closeness","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq05,q_5"
"ibqrfe006","Integer","","Recommended","6. snuggle even after done","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq06,q_6"
"ibqrfe007","Integer","","Recommended","7. seem eager to get away","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq07,q_7"
"ibqrfe008","Integer","","Recommended","8. waiting in a high chair for food","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq08,q_8"
"ibqrfe009","Integer","","Recommended","9. when ready for more food","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibqrdq09,q_9"
"ibqrfe010","Integer","","Recommended","10. when had enough to eat","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq3_3,ibq7_12,ibqmat7,ibqrdq10,q_10"
"ibqrsl011","Integer","","Recommended","11. show no fussing or crying","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq5_2,ibqrdq11,q_11"
"ibqrsl012","Integer","","Recommended","12. toss about in the crib","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq13_12,ibq6_2,ibqmat13,ibqrdq12,q_12"
"ibqrsl013","Integer","","Recommended","13. move from middle to end","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq14_12,ibq6_3,ibqmat14,ibqrdq13,q_13"
"ibqrsl014","Integer","","Recommended","14. sleep in one position only","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq15_12,ibq6_4,ibqmat15,ibqrdq14,q_14"
"ibqrsl015","Integer","","Recommended","15. fuss or cry immediately","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq16_12,ibq7_2,ibqmat16,ibqrdq15,q_15"
"ibqrsl016","Integer","","Recommended","16. play quietly in the crib","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq17_12,ibq7_5,ibqmat17,ibqrdq16,q_16"
"ibqrsl017","Integer","","Recommended","17. cry if someone does not come","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ibq19_12,ibq7_4,ibqmat19,ibqrdq17,q_17"
