"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"letterwordrecog_1","Integer","","Recommended","Letter and Word Recognition Item 1","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_2","Integer","","Recommended","Letter and Word Recognition Item 2","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_3","Integer","","Recommended","Letter and Word Recognition Item 3","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_4","Integer","","Recommended","Letter and Word Recognition Item 4","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_5","Integer","","Recommended","Letter and Word Recognition Item 5","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_6","Integer","","Recommended","Letter and Word Recognition Item 6","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_7","Integer","","Recommended","Letter and Word Recognition Item 7","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_8","Integer","","Recommended","Letter and Word Recognition Item 8","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_9","Integer","","Recommended","Letter and Word Recognition Item 9","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_10","Integer","","Recommended","Letter and Word Recognition Item 10","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_11","Integer","","Recommended","Letter and Word Recognition Item 11","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_12","Integer","","Recommended","Letter and Word Recognition Item 12","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_13","Integer","","Recommended","Letter and Word Recognition Item 13","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_14","Integer","","Recommended","Letter and Word Recognition Item 14","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_15","Integer","","Recommended","Letter and Word Recognition Item 15","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_16","Integer","","Recommended","Letter and Word Recognition Item 16","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_17","Integer","","Recommended","Letter and Word Recognition Item 17","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_18","Integer","","Recommended","Letter and Word Recognition Item 18","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_19","Integer","","Recommended","Letter and Word Recognition Item 19","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_20","Integer","","Recommended","Letter and Word Recognition Item 20","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_21","Integer","","Recommended","Letter and Word Recognition Item 21","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_22","Integer","","Recommended","Letter and Word Recognition Item 22","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_23","Integer","","Recommended","Letter and Word Recognition Item 23","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_24","Integer","","Recommended","Letter and Word Recognition Item 24","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_25","Integer","","Recommended","Letter and Word Recognition Item 25","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
"letterwordrecog_26","Integer","","Recommended","Letter and Word Recognition Item 26","0;1;999","0=Incorrect response; 1=Correct response; 999=N/A, Missing",""
