"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bisii01_p_a","Integer","","Recommended","1. People probably do not take me seriously when I tell them I am bisexual.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_b","Integer","","Recommended","2. I am grateful for my bisexual identity.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_c","Integer","","Recommended","3. I am comfortable being bisexual.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_d","Integer","","Recommended","4. I am reluctant to tell others of my bisexual identity.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_e","Integer","","Recommended","5. I am proud to be bisexual.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_f","Integer","","Recommended","6. Bisexual individuals are in denial about being gay.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_g","Integer","","Recommended","7. I feel that I have to justify my bisexuality to others.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_h","Integer","","Recommended","8. Identifying as bisexual is just the first step towards becoming gay.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_i","Integer","","Recommended","9. I feel freedom with both men and women.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_j","Integer","","Recommended","10. Being bisexual is rewarding to me.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_k","Integer","","Recommended","11. It is unfair that I am attracted to both men and women.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_l","Integer","","Recommended","12. People might not like me if they found out that I am bisexual.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_m","Integer","","Recommended","13. When I talk about being bisexual, I get nervous.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_n","Integer","","Recommended","14. I am not a real person because I am bisexual.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_o","Integer","","Recommended","15. I wish I could control my feelings and aim them at either men or women, not both.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_p","Integer","","Recommended","16. I think that bisexual individuals are just indecisive.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_q","Integer","","Recommended","17. Being bisexual is a cop out.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_r","Integer","","Recommended","18. Bisexual identity is just a fleeting fad.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_s","Integer","","Recommended","19. I am okay with my bisexuality.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_t","Integer","","Recommended","20. My life would be better if I were not bisexual.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_u","Integer","","Recommended","21. Being bisexual prevents me from having meaningful intimate relationships.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_v","Integer","","Recommended","22. I think that being bisexual is just a temporary identity.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_w","Integer","","Recommended","23. Bisexuality is not a real identity.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
"bisii01_p_x","Integer","","Recommended","24. I would be better off if I would identify as gay or straight, rather than bisexual.","1::7","1 = Strongly disagree; 7 = Strongly agree",""
