"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dasi_1","Integer","","Recommended","Can you... take care of yourself, that is, eating, dressing, bathing and using the toilet?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_2","Integer","","Recommended","Can you... walk indoors such as around your house?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_3","Integer","","Recommended","Can you... walk a block or two on level ground?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_4","Integer","","Recommended","Can you... climb a flight of stairs or walk up a hill?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_5","Integer","","Recommended","Can you... run a short distance?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_6","Integer","","Recommended","Can you... do light work around the house like dusting or washing dishes?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_7","Integer","","Recommended","Can you... do moderate work around the house like vacuuming, sweeping floors, carrying in groceries?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_8","Integer","","Recommended","Can you... do heavy work around the house like scrubbing floors, or lifting or moving heavy furniture?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_9","Integer","","Recommended","Can you... do yard work like raking leaves, weeding or pushing a power mower?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_10","Integer","","Recommended","Can you... have sexual relations?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_11","Integer","","Recommended","Can you... participate in moderate recreational activities like golf, bowling, dancing, doubles tennis or throwing baseball or football?","0;1","0=No; 1=Yes, With no difficulty",""
"dasi_12","Integer","","Recommended","Can you... participate in strenuous sports like swimming, singles tennis, football, basketball or skiing?","0;1","0=No; 1=Yes, With no difficulty",""
