"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"m_3p1001","Integer","","Recommended","I lose my temper when my child doesn't do something I ask him/her to do.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1002","Integer","","Recommended","I have pleasant conversations with my child.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1003","Integer","","Recommended","I grab or handle my child roughly.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1004","Integer","","Recommended","I try to teach my child new things.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1005","Integer","","Recommended","I demand that my child does something (or stop doing something) right away.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1006","Integer","","Recommended","My child and I hug and/or kiss each other.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1007","Integer","","Recommended","I complain about my child's behavior or tell my child I don't like what s/he is doing.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1008","Integer","","Recommended","I laugh with my child about thigns we find funny.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1009","Integer","","Recommended","When my child misbehaves, I let him/her know what will happen if s/he doesn't behave.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1010","Integer","","Recommended","My child and I spend time playing games, doing crafts, or doing other activities.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1011","Integer","","Recommended","I listen to my child's feelings and try to understand them.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1012","Integer","","Recommended","I thank or praise my child.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1013","Integer","","Recommended","I spank or use physical punishment with my child.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1014","Integer","","Recommended","I offer to help, or help my child with things s/he is doing.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1015","Integer","","Recommended","I threaten my child.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1016","Integer","","Recommended","I comfort my child when s/he seems scared, upset, or unsure.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1017","Integer","","Recommended","I say mean things to my child that can make him/her feel bad.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1018","Integer","","Recommended","I hold or touch my child in an affectionate way.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1019","Integer","","Recommended","When I am disappointed in my child's behavior, I remind him/her about what I've done for him/her.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
"m_3p1020","Integer","","Recommended","When my child asks for help or attention, I ignore him/her or make him/her wait until later.","0::5","0 = Not at all true (I do not do this); 1 = A little true; 2 = Somewhat true; 3 = Moderately true; 4 = Quite a bit true; 5 = Very true (I often do this)",""
