"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"qid_energy","Integer","","Recommended","Over the past month, how often has your child: Had enough energy to participate in daily routines and activities?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_good","Integer","","Recommended","Over the past month, how often has your child: Kept in good general health (e.g. avoided cough, colds, fever)?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_slept_well","Integer","","Recommended","Over the past month, how often has your child: Slept well during the night?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_alert_aware","Integer","","Recommended","Over the past month, how often has your child: Been alert and aware during the day?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_good_mood","Integer","","Recommended","Over the past month, how often has your child: Been in a good mood?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_smiled","Integer","","Recommended","Over the past month, how often has your child: Smiled or brightened their facial expression?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_happy_body","Integer","","Recommended","Over the past month, how often has your child: Showed happiness through body language (e.g. making eye contact, body facing others)?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_cheeky","Integer","","Recommended","Over the past month, how often has your child: Showed cheeky or comical mannerisms (e.g. laughed, giggled)?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_unsettled","Integer","","Recommended","Over the past month, how often has your child: Been unsettled without an apparent reason?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_aggression","Integer","","Recommended","Over the past month, how often has your child: Showed aggression (e.g. hitting, kicking, using offensive language, being destructive)?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_upset","Integer","","Recommended","Over the past month, how often has your child: Appeared upset or angry (e.g. crying, screaming, moving or stiffening the body)?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_low_mood","Integer","","Recommended","Over the past month, how often has your child: Become withdrawn with a low mood?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_hurt","Integer","","Recommended","Over the past month, how often has your child: Deliberately hurt themselves?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_discomfort_change","Integer","","Recommended","Over the past month, how often has your child: Expressed discomfort with changes in routine (e.g. careers, school, respite, out-of-home care)?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_agitated","Integer","","Recommended","Over the past month, how often has your child: Showed signs of being anxious or agitated (e.g. teeth grinding, fast breathing, avoidance)?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
"qid_expressed_happiness","Integer","","Recommended","Over the past month, how often has your child: Expressed happiness when they were understood?","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often",""
