"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ci_lp_1","Integer","","Recommended","Over the next month, how likely is it that you will give your child labeled praise at least as often as you correct their behavior?","1::7","1= Extremely Unlikely; 7= Extremely Likely",""
"ci_lp_2","Integer","","Recommended","Bad/Good- Imagine what it would be like if you were to provide labeled praise to my child at least as often as I correct their behavior during the next month. Would that be:","1::7","1= Bad; 7=Good",""
"ci_lp_3","Integer","","Recommended","Burdensome/Manageable- Imagine what it would be like if you were to provide labeled praise to my child at least as often as I correct their behavior during the next month. Would that be:","1::7","1= Burdensome; 7=Manageable",""
"ci_lp_4","Integer","","Recommended","Useless/Effective- Imagine what it would be like if you were to provide labeled praise to my child at least as often as I correct their behavior during the next month. Would that be:","1::7","1= Useless; 7=Effective",""
"ci_lp_5","Integer","","Recommended","Unpleasant/Pleasant- Imagine what it would be like if you were to provide labeled praise to my child at least as often as I correct their behavior during the next month. Would that be:","1::7","1= Unpleasant; 7=Pleasant",""
"ci_lp_6","Integer","","Recommended","Most parents and caregivers provide labeled praise to their child at least as often as they correct their behavior","1::7","1= Strongly disagree; 7= Strongly agree",""
"ci_lp_7","Integer","","Recommended","If I wanted to, I am sure that I could provide labeled praise to my child at least as often as I correct their behavior","1::7","1= Strongly disagree; 7= Strongly agree",""
"ci_pr_1","Integer","","Recommended","Over the next month, how likely is it that you will use proactive reminders with your child?","1::7","1= Extremely Unlikely; 7= Extremely Likely",""
"ci_pr_2","Integer","","Recommended","Bad/Good- Imagine what it would be like if you were to use proactive reminders with your child during the next month. Would that be:","1::7","1= Bad; 7=Good",""
"ci_pr_3","Integer","","Recommended","Burdensome/Manageable- Imagine what it would be like if you were to use proactive reminders with your child during the next month. Would that be:","1::7","1= Burdensome; 7=Manageable",""
"ci_pr_4","Integer","","Recommended","Useless/Effective- Imagine what it would be like if you were to use proactive reminders with your child during the next month. Would that be:","1::7","1= Useless; 7=Effective",""
"ci_pr_5","Integer","","Recommended","Unpleasant/Pleasant- Imagine what it would be like if you were to use proactive reminders with your child during the next month. Would that be:","1::7","1= Unpleasant; 7=Pleasant",""
"ci_pr_6","Integer","","Recommended","Most parents and caregivers use proactive reminders with their children","1::7","1= Strongly disagree; 7= Strongly agree",""
"ci_pr_7","Integer","","Recommended","If I wanted to, I am sure that I could provide use proactive reminders with my child","1::7","1= Strongly disagree; 7= Strongly agree",""
"ci_bc_1","Integer","","Recommended","Over the next month, how likely is it that you will use behavior corrections by stating what behavior you would like to see instead when your child's behavior does not meet your expectations?","1::7","1= Extremely Unlikely; 7= Extremely Likely",""
"ci_bc_2","Integer","","Recommended","Bad/Good- Imagine what it would be like if you were to use behavior corrections by stating what behavior you would like to see instead when your child's behavior does not meet your expectations during the next month. Would that be:","1::7","1= Bad; 7=Good",""
"ci_bc_3","Integer","","Recommended","Burdensome/Manageable- Imagine what it would be like if you were to use behavior corrections by stating what behavior you would like to see instead when your child's behavior does not meet your expectations during the next month. Would that be:","1::7","1= Burdensome; 7=Manageable",""
"ci_bc_4","Integer","","Recommended","Useless/Effective- Imagine what it would be like if you were to use behavior corrections by stating what behavior you would like to see instead when your child's behavior does not meet your expectations during the next month. Would that be:","1::7","1= Useless; 7=Effective",""
"ci_bc_5","Integer","","Recommended","Imagine what it would be like if you were to use behavior corrections by stating what behavior you would like to see instead when your child's behavior does not meet your expectations during the next month. Would that be:","1::7","1= Unpleasant; 7=Pleasant",""
"ci_bc_6","Integer","","Recommended","Most parents and caregivers use behavior corrections by stating what behavior they would like to see instead when their child's behavior does not meet their expectations","1::7","1= Strongly disagree; 7= Strongly agree",""
"ci_bc_7","Integer","","Recommended","If I wanted to, I am sure that I could provide use behavior corrections by stating what behavior I would like to see instead when my child's behavior does not meet my expectations","1::7","1= Strongly disagree; 7= Strongly agree",""
"ci_drc_1","Integer","","Recommended","Over the next month, how likely is it that you will review behavior feedback from your child's teacher with your child?","1::7","1= Extremely Unlikely; 7= Extremely Likely",""
"ci_drc_2","Integer","","Recommended","Bad/Good- Imagine what it would be like if you were to review behavior feedback from your child's teacher with your child. Would that be:","1::7","1= Bad; 7=Good",""
"ci_drc_3","Integer","","Recommended","Burdensome/Manageable- Imagine what it would be like if you were to review behavior feedback from your child's teacher with your child. Would that be:","1::7","1= Burdensome; 7=Manageable",""
"ci_drc_4","Integer","","Recommended","Useless/Effective- Imagine what it would be like if you were to review behavior feedback from your child's teacher with your child. Would that be:","1::7","1= Useless; 7=Effective",""
"ci_drc_5","Integer","","Recommended","Unpleasant/Pleasant- Imagine what it would be like if you were to review behavior feedback from your child's teacher with your child. Would that be:","1::7","1= Unpleasant; 7=Pleasant",""
"ci_drc_6","Integer","","Recommended","Most parents and caregivers review behavior feedback from their child's teacher with their child","1::7","1= Strongly disagree; 7= Strongly agree",""
"ci_drc_7","Integer","","Recommended","If I wanted to, I am sure that I could review behavior feedback from my child's teacher with my child","1::7","1= Strongly disagree; 7= Strongly agree",""
