"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cldq1","Integer","","Recommended","How much of the time during the last two weeks have you been troubled by a feeling of abdominal bloating?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq2","Integer","","Recommended","How much of the time have you been tired or fatigued during the last two weeks?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq3","Integer","","Recommended","How much of the time during the last two weeks have you experienced bodily pain?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq4","Integer","","Recommended","How often during the last two weeks have you felt sleepy during the day?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq5","Integer","","Recommended","How much of the time during the last two weeks have you experienced abdominal pain?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq6","Integer","","Recommended","How much of the time during the last two weeks has shortness of breath been a problem for you in your daily activities?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq7","Integer","","Recommended","How much of the time during the last two weeks have you not been able to eat as much as you would like?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq8","Integer","","Recommended","How much of the time in the last two weeks have you been bothered by having decreased strength?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq9","Integer","","Recommended","How often during the last two weeks have you had trouble lifting or carrying heavy objects?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq10","Integer","","Recommended","How often during the last two weeks have you felt anxious?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq11","Integer","","Recommended","How often during the last two weeks have you felt a decreased level of energy?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq12","Integer","","Recommended","How much of the time during the last two weeks have you felt unhappy?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq13","Integer","","Recommended","How often during the last two weeks have you felt drowsy?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq14","Integer","","Recommended","How much of the time during the last two weeks have you been bothered by a limitation of your diet?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq15","Integer","","Recommended","How often during the last two weeks have you been irritable?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq16","Integer","","Recommended","How much of the time during the last two weeks have you had difficulty sleeping at night?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq17","Integer","","Recommended","How much of the time during the last two weeks have you been troubled by a feeling of abdominal discomfort?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
"cldq18","Integer","","Recommended","How much of the time during the last two weeks have you been worried about the impact your liver disease has on your family?","1::7","1=All of the time; 2=Most of the time; 3=A good bit of the time; 4=Some of the time; 5=A little of the time; 6=Hardly any of the time; 7=None of the time",""
