"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"frustrativewithdrawal04","Integer","","Recommended","I lose interest in a project if I don't see positive results quickly.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"repnegthoughts01","Integer","","Recommended","I ruminate a lot about the past.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"interoceptivesensitivity10","Integer","","Recommended","I tend to ignore unusual sensations in my body.","1::5;999","1= Very much like me; 2= Mostly like me; 3= Somewhat like me; 4= A little like me; 5= Not at all like me; 999= Missing",""
"disgust02","Integer","","Recommended","I am very squeamish.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"frustrativeanger08","Integer","","Recommended","I get irritated when things are taken from me.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"anxiousarousal11","Integer","","Recommended","I feel my heart pounding in times of danger.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"chronicpain02","Integer","","Recommended","I have a lot of aches and pains.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"repnegthoughts04","Integer","","Recommended","Thoughts of potential problems keep entering my mind.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"uncertaintysens06","Integer","","Recommended","It is very difficult for me when I don't know what will happen.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"fightprone05","Integer","","Recommended","I become aggressive when I'm in danger.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"frustrativeanger07","Integer","","Recommended","I lash out when I don't get what I want.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"flightbehavoid05","Integer","","Recommended","I run from danger.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"repnegthoughts05","Integer","","Recommended","I pay close attention to the negative thoughts that pop into my head.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"anxiousarousal05","Integer","","Recommended","I often feel nauseous when I'm worried or anxious.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"freezeprone06","Integer","","Recommended","When threatened, I can't move.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"fightprone07","Integer","","Recommended","I get violent when I feel under attack.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"uncertaintysens05","Integer","","Recommended","I can't stand the unknown.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"threatvigilance13","Integer","","Recommended","I keep scanning my surroundings when I feel uneasy.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"painsensitivity12","Integer","","Recommended","Pain does not affect me much.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"interoceptivesensitivity02","Integer","","Recommended","I am very sensitive to unusual feelings in my body.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"uncertaintysens09","Integer","","Recommended","I prefer situations that are clear and predictable.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"evalulationsens01","Integer","","Recommended","I hate being graded or evaluated by others.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"frustrativeanger02","Integer","","Recommended","I get angry when I don't get what I want.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"hopelessanhedonia07","Integer","","Recommended","Things don't bring me pleasure like they used to.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"losswithdrawal12","Integer","","Recommended","When I experience a loss, I want to be with others.","1::5;999","1= Very much like me; 2= Mostly like me; 3= Somewhat like me; 4= A little like me; 5= Not at all like me; 999= Missing",""
"threatvigilance10","Integer","","Recommended","I am always ''on alert.''","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"flightbehavoid04","Integer","","Recommended","I leave whenever a person or place is threatening.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"disgust_20","Integer","","Recommended","The sight of somebody bleeding or getting an injection might make me sick.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"flightbehavoid06","Integer","","Recommended","I avoid potentially threatening situations.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"experientialavoidance13","Integer","","Recommended","I avoid things and situations that might arouse strong emotions.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"threatvigilance09","Integer","","Recommended","I carefully watch for signs of trouble when I feel threatened.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"freezeprone12","Integer","","Recommended","I do not freeze when faced with dangerous situations.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"evalulationsens07","Integer","","Recommended","I feel self-conscious when others watch me.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"disgust01","Integer","","Recommended","I'm easily grossed out.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"anxiousarousal12","Integer","","Recommended","My muscles tense up considerably when I'm scared.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"losswithdrawal02","Integer","","Recommended","I prefer to be alone when life gets hard.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"anxiousarousal06","Integer","","Recommended","I have a strong physical reaction when I feel anxious.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"hopelessanhedonia09","Integer","","Recommended","I feel that things will never get better.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"frustrativeanger05","Integer","","Recommended","Disappointment makes me very angry.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"experientialavoidance01","Integer","","Recommended","I tend to avoid thoughts, feelings, and memories related to my troubles.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"evalulationsens02","Integer","","Recommended","I hate being evaluated, even when the evaluation is good.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"fightprone01","Integer","","Recommended","When someone threatens me, I fight back.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"evalulationsens04","Integer","","Recommended","I do not like it when others watch me perform.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"anxiousarousal10","Integer","","Recommended","My heart races when I'm frightened.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"threatvigilance01","Integer","","Recommended","I am watchful for signs of threat.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"losswithdrawal11","Integer","","Recommended","I lean on others when I experience a loss in my life.","1::5;999","1= Very much like me; 2= Mostly like me; 3= Somewhat like me; 4= A little like me; 5= Not at all like me; 999= Missing",""
"uncertaintysens01","Integer","","Recommended","Uncertainty is very stressful for me.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"uncertaintysens13","Integer","","Recommended","I don't need to know everything that is going to happen.","1::5;999","1= Very much like me; 2= Mostly like me; 3= Somewhat like me; 4= A little like me; 5= Not at all like me; 999= Missing",""
"flightbehavoid14","Integer","","Recommended","When I sense the potential for danger, I feel a strong urge to stay away.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"painsensitivity02","Integer","","Recommended","I'm quite sensitive to pain.","1::5;999","1= Very much like me; 2= Mostly like me; 3= Somewhat like me; 4= A little like me; 5= Not at all like me; 999= Missing",""
"painsensitivity10","Integer","","Recommended","I can tolerate a lot of pain.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"hopelessanhedonia10","Integer","","Recommended","I rarely experience pleasure in my life.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"experientialavoidance05","Integer","","Recommended","The best way to handle my problems is to avoid thinking about them.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"chronicpain06","Integer","","Recommended","I don't suffer from any sort of recurring pain.","1::5;999","1= Very much like me; 2= Mostly like me; 3= Somewhat like me; 4= A little like me; 5= Not at all like me; 999= Missing",""
"disgust_19","Integer","","Recommended","If I see blood, I might faint.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"threatvigilance07","Integer","","Recommended","I am always on guard for potential danger.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"interoceptivesensitivity08","Integer","","Recommended","I don't notice subtle changes in my body.","1::5;999","1= Very much like me; 2= Mostly like me; 3= Somewhat like me; 4= A little like me; 5= Not at all like me; 999= Missing",""
"chronicpain03","Integer","","Recommended","The doctors can't explain the pain I'm experiencing.","1::5;999","1= Not at all like me; 2= A little like me; 3= Somewhat like me; 4= Mostly like me; 5= Very much like me; 999= Missing",""
"losswithdrawal10","Integer","","Recommended","When I'm sad or blue, I reach out to friends.","1::5;999","1= Very much like me; 2= Mostly like me; 3= Somewhat like me; 4= A little like me; 5= Not at all like me; 999= Missing",""
