"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"earlydev_acon","Integer","","Recommended","","Age (in months) when parents first noticed that something is not quite right in language, relationships or behavior(in months)","0 :: 400;991;992;996;997;998;999","991 = Parents not concerned although child was referred by professional; 992 = Parents have been worried since birth (e.g., if baby premature or very ill at birth); 996 = Can't recall but before 3 years; 997 = Can't recall but 3 years or later; 998=N/A; 999=N/K or not asked",""
"earlydev_fsymc","String","1020","Recommended","","First symptoms to arouse parental concern (specify)","","",""
"concern24m","Integer","","Recommended","","Were first concern clearly evident by 24 months?","0;1","0=No; 1=Yes",""
"first_child","Integer","","Recommended","","Is child your first child?","0;1","0=No; 1=Yes",""
"pregia_b","Integer","","Recommended","","Have you been child primary caretaker since birth?","0;1","0=No; 1=Yes",""
"pregia_c","String","100","Conditional","pregia_b === '0'","Who else has been a primary caretaker?","","",""
"pregia_d","String","500","Conditional","pregia_b === '0'","When was that person= the primary caretaker?","","",""
"mpq2","String","500","Recommended","","Were there any other important things happening to you or your family right around this time?","","",""
"fc2_1","Integer","","Conditional","fc2_1 === 0","Were you the first person who was concerned that something didnt seem right with childs development?","0;1; 99; 77","0=No; 1=Yes; 99=Don't know; 77=Refused",""
"fc2_2","Integer","","Conditional","fc2_1 === 0","Who was the first person who said they were concerned?","1::8; 99; 77","99=Don't know; 77=Refused; 1=mother; 2= father; 3= family member/relative; 4=a doctor or other healthcare provider; 5=teacher; 6=the school counselor or nurse; 7=a family friend; 8= other",""
"fc2_2o","String","500","Conditional","fc2_2 == '8'","Specify other","","",""
"fc3","String","25","Recommended","","At the time you were first concerned, did you share your concerns with any of the following?","","99=Don't know; 77=Refused; 1=spouse or partner; 2=family member; 3= friend; 4= child care provider or babysitter; 5=teacher or school staff; 6=clergy or church staff; 7=pediatrician or health care prvider; 9=other",""
"fc3o","String","255","Recommended","","Specify other people you shared concern with","","",""
"fc3_1","Integer","","Recommended","","""When you shared your concerns with these people, did you ever feel like people were not taking your concerns seriously?""","0;1; 99; 77","0=No; 1=Yes; 99=Don't know; 77=refused",""
"fc3_2","Integer","","Recommended","","""When you shared your concerns with these people, did you ever feel like someone was trying to keep you from seeking help for child?""","0;1; 99; 77","0=No; 1=Yes; 99=Don't know; 77=refused",""
"fc3_3","String","25","Conditional","fc3_1 == '1' || fc3_2 == '1'","Who did not take your concerns seriously ortried to keep you from seeking help?","","99=Don't know; 77=Refused; 1=spouse or partner; 2=childs other parent; 3=family member; 4= friend; 5= child care provider or babysitter; 6=teacher or school staff; 7=clergy or church staff; 8=pediatrician or health care prvider; 9=other",""
"fc3_3o","String","100","Conditional","fc3 =='9' ||fc3_3 == '9'","Specify other people who refused your concern","","",""
"fc4","Integer","","Recommended","","Which one of these did you share your concerns with first?","1::6;77;99","99=Don't know; 77=Refused;  1= child care provider; 2=teacher or school staff; 3=clergy or church staff; 4=pediatrician or health care prvider; 5=autism research center; 6=other",""
"fc4_1","Integer","","Recommended","","How old was child when you first shared your concerns with this person? In months","","",""
"fc5_1","Integer","","Recommended","","Did that person: Conduct developmental tests?","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc5_2","Integer","","Recommended","","Did that person: Make a referral to a specialist?","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc5_3","Integer","","Recommended","","""Did that person: Tell you nothing was wrong- that the behavior was normal, it was too early to tell, or that he/she might """"grow out of it?""""""","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc5_4","Integer","","Recommended","","Did that person: Suggest that you discuss the concern with childs school?","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc5_5","Integer","","Recommended","","Did that person do or say anything else?","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc5_5o","String","300","Conditional","fc5_5 == '1'","Specify","","",""
"fc6_1","Integer","","Recommended","","At this time of first concerns: Difficulty finding or keeping child care or babysitters","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc6_2","Integer","","Recommended","","At this time of first concerns: Difficulty going places you needed to go like the store","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc6_3","Integer","","Recommended","","At this time of first concerns: Difficulty finding or staying in preschool","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc6_4","Integer","","Recommended","","At this time of first concerns: School suspensions","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc6_5","Integer","","Recommended","","At this time of first concerns: Family Conflict / Martial Stress or Tension Among Adults Residing in the Household","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc6_6","Integer","","Recommended","","Other difficulties?","0;1; 99; 77; 9","0=No; 1=Yes; 99=Don't know; 77=Refused; 9=n/a",""
"fc6_6o","String","250","Conditional","fc6_6 == '1'","Specify other","","",""
"fc7","Integer","","Recommended","","At this age was there a place or a doctor that child usually went to for well check-ups when he/she wasn't sick?","1::3; 77; 99","99=Don't know; 77=Refused; 1=yes; 2= there was no place; 3= there was more than one place",""
"fc7_1","Integer","","Recommended","","""At this age, did child have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or government plans such as Medicaid or S-CHIP?""","0;1; 99; 77","0=No; 1=Yes; 99=Don't know; 77=Refused",""
"fc7_2","Integer","","Conditional","fc7_1 == 1","What type of insurance was it?","1::3; 77; 99","1=private or employer-based; 2=Public health insurance of some type; 3= other; 99=Don't know; 77=Refused",""
"fc7_2o","String","150","Conditional","fc7_2 == '3'","Specify other","","",""
"household_number_in_house","Integer","","Recommended","","Number of people living in primary residence for subject (proband)","","",""
"num_in_house_adults","Integer","","Recommended","","Number of Individuals in Household Adults","","",""
"num_in_house_kids","Integer","","Recommended","","Number of Individuals in Household Children","","",""
"d2_4","Integer","","Conditional","num_in_house_kids >= 2","""Did any of these other children have any disability, developmental delay, or other special needs?""","0;1; 99; 77","0=No; 1=Yes; 99=Don't know; 77=Refused",""
"d2_4o","String","255","Conditional","d2_4 == '1'","Specify","","",""
"briefscreen_respondent_age_yrs","Integer","","Recommended","","age of Respondent in years","","",""
"d4","Integer","","Recommended","","""Were you married, widowed, divorced, separated, never married, or living with a partner?""","1::6; 99; 77","1=married; 2=widowed; 3=divorced; 4=separated; 5=never married; 6=living with a partner; 99=Don't know; 77=Refused",""
