"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"aaaq1","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I would have liked to have a drink or two.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq2","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: If I had been at a pub or club I would have wanted a drink.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq3","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I had planned to drink alcohol.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq4","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I would have accepted a drink if one had been offered to me.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq5","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: If I had been at a party I would have had a drink without thinking twice.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq6","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: My desire to drink seemed overwhelming.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq7","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I wanted to drink alcohol so much that if I started drinking I would have found it difficult to stop.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq8","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I was thinking about alcohol a lot of the time.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq9","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I wanted to drink as soon as I had the chance.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq10","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I avoided people who were likely to offer me a drink.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq11","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I deliberately occupied myself so I would not drink alcohol.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq12","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I was thinking about the benefits of being sober.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq13","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: I avoided places in which I might have been tempted to drink alcohol.","0::8","0= Not at all; 8= Very Strongly",""
"aaaq14","Integer","","Recommended","Consider your thoughts on alcohol over the PREVIOUS WEEK. Please rate how strongly you agree with each item: The bad things that could happen if I drank alcohol were fresh in my mind.","0::8","0= Not at all; 8= Very Strongly",""
