"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"fort1","Integer","","Recommended","I think about the possibility of good things not happening in the future.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort2","Integer","","Recommended","I spend time thinking about bad things that could happen.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort3","Integer","","Recommended","When something bad happens, I can't stop myself from thinking about whether it will happen again.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort4","Integer","","Recommended","I think about how to accomplish my future goals.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort5","Integer","","Recommended","When I don't get something that I want, I think about whether I will ever get the things that I want in life.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort6","Integer","","Recommended","When I am looking forward to something, I can't stop myself from thinking about what it will be like.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort7","Integer","","Recommended","I imagine the steps I need to take to get things that I want in life.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort8","Integer","","Recommended","I think about the worst possible things that could happen.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort9","Integer","","Recommended","When I picture good things happening in my future, it is as if they are actually happening to me now.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort10","Integer","","Recommended","I daydream about the things that I want happening to me in the future.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort11","Integer","","Recommended","I make specific plans for how to get things that I want in life.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort12","Integer","","Recommended","I think about the possibility of losing people of things that are important to me.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort13","Integer","","Recommended","When I think about something bad happening, I have a hard time thinking about anything else.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort14","Integer","","Recommended","I play out scenes in my head over and over again about bad things that could happen.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort15","Integer","","Recommended","When I picture something good happening to me, I get so caught up in the moment that I don't pay attention to other things.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"fort16","Integer","","Recommended","I think about the ways in which my life will be good in the future.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
