"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mfas_1","Integer","","Recommended","I talk to my unborn baby","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_2","Integer","","Recommended","I feel all the trouble of being pregnant is worth it","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_3","Integer","","Recommended","I enjoy watching my tummy jiggle as the baby kicks inside","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_4","Integer","","Recommended","I picture myself feeding my baby","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_5","Integer","","Recommended","I'm looking forward to seeing what the baby looks like","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_6","Integer","","Recommended","I wonder if the baby feels cramped in there","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_7","Integer","","Recommended","I refer to my baby by a nickname","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_8","Integer","","Recommended","I imagine myself taking care of the baby","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_9","Integer","","Recommended","I can almost guess what my baby's personality will be from the way she/he moves around","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_10","Integer","","Recommended","I have decided on a name for a girl baby","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_11","Integer","","Recommended","I do things to try to stay healthy that I would not do if I were not pregnant","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_12","Integer","","Recommended","I wonder if the baby can hear inside of me","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_13","Integer","","Recommended","I have decided on a name for a baby boy","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_14","Integer","","Recommended","I wonder if the baby thinks and feels inside of me","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_15","Integer","","Recommended","I eat meat and vegetables to be sure my baby gets a good diet","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_16","Integer","","Recommended","It seems my baby kicks and moves to tell me when it is eating time","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_17","Integer","","Recommended","I poke the baby to get her/him to poke back","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_18","Integer","","Recommended","I can hardly wait to hold the baby","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_19","Integer","","Recommended","I try to picture what the baby will look like","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_20","Integer","","Recommended","I stroke my tummy to quiet the baby when there is too much kicking","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_21","Integer","","Recommended","I can tell when the baby has hiccups","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_22","Integer","","Recommended","I feel my body is ugly","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_23","Integer","","Recommended","I give up doing certain things because I want to help my baby","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
"mfas_24","Integer","","Recommended","I grasp my baby's foot through my tummy to move it around","1::5","1=Definitely no; 2=No; 3=Uncertain; 4=Yes; 5=Definitely yes",""
