"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"phbqasbed","Integer","","Recommended","Does your child make a fuss about going to bed at night?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqaseating","Integer","","Recommended","Does your child make a fuss about eating?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqassitting","Integer","","Recommended","Does your child spend time just sitting and lying?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqaspacifier","Integer","","Recommended","Does your child need a pacifier?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasleaving","Integer","","Recommended","Does your child seem to be afraid of leaving the house with you?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasuninterested","Integer","","Recommended","Is your child uninterested in what goes on around him or her?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqaswetbed","Integer","","Recommended","Does your child wet the bed at night?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasnails","Integer","","Recommended","Does your child bite his or her fingernails?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasleavealone","Integer","","Recommended","Does your child get upset when you leave him or her alone for a few minutes?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqashelp","Integer","","Recommended","Does your child need a lot of help doing things?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasgames","Integer","","Recommended","Is it difficult to get your child interested in doing things like playing games, with toys, etc.?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasavoid","Integer","","Recommended","Does your child seem to avoid or be afraid of new things?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasmind","Integer","","Recommended","Does your child have difficulty making up his or her mind?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqastantrum","Integer","","Recommended","Does your child have temper tantrums?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqastalk","Integer","","Recommended","Is it difficult to get your child to talk to you?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasdoctor","Integer","","Recommended","Does your child seem to get upset when someone mentions doctors or hospitals?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasfollow","Integer","","Recommended","Does your child follow you everywhere around the house?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasattention","Integer","","Recommended","Does your child spend time trying to get or hold your attention?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasdark","Integer","","Recommended","Is your child afraid of the dark?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasbaddreams","Integer","","Recommended","Does your child have bad dreams at night or wake up and cry?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasirregular","Integer","","Recommended","Is your child irregular in his or her bowel movements?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqassleep","Integer","","Recommended","Does your child have trouble getting to sleep at night?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasafraid","Integer","","Recommended","Does your child seem to be shy or afraid around strangers?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasappetite","Integer","","Recommended","Does your child have a poor appetite?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasdisobey","Integer","","Recommended","Does your child tend to disobey you?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasbreak","Integer","","Recommended","Does your child break toys or other objects?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
"phbqasthumb","Integer","","Recommended","Does your child suck his or her fingers or thumbs?","1::5","1 = Much less than before; 2 = Less than before; 3 =  Same as before; 4 = More than before; 5 = Much more than before",""
