"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","","case_id,child_id,clinical_barcode,subject"
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","bl_visit_date,chrpds_interview_date,pds_date"
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","bslage,ch_age,pubc1,pubp1"
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","ch_sex,dev_scales_gender,gender,pds_sex_y,pubertal_sex_p,sex"
"respond","Integer","","Required","","Respondent","1::7;999","1 = Parent; 2 = Teacher; 3=Self; 4= Other; 5= Significant other; 6 = Parent 1; 7 = Parent 2; 999 = Not available","pds_respondent,respondent,who"
"pds_1","Integer","","Recommended","","C.Would you say that your growth in height has not yet begun to spurt, has barely started, is definitely underway, or does growth seem completed. P.How would you say your child's growth in height has developed?
","1::5; -99; 77; 88","1= Not begun; 2 =Yes (barely); 3= Yes (definitely); 4= Development complete; 5= Don't know; -99= N/A ; 77= Refused ; 88= Missing","afh,amh,chrpds_pds_1_p,pds1,pds_1_p,pds_1_pv,pds_cv_1_boy,pds_cv_1_girl,pds_growth,pds_ht2_y,pds_p_1,pds_pr_1,pds_q1,pds_sub_1,peterson_fem_height,peterson_male_height,pfh,pmh,pubc2,puberty_1,pubp2,pufe_001t,puma_001t"
"pds_2","Integer","","Recommended","","C.And how about the growth of body hair? Would you say that your body hair has not yet started growing, has barely started growing, is definitely underway, or does growth seem completed? (if asked, body hair = underarm or pubic hair). P. How wouold you say that your child's body hair has developed?  (if asked, body hair = underarm or pubic hair) 
","1::5; -99; 77; 88","1= Not begun; 2 =Yes (barely); 3= Yes (definitely); 4= Development complete; 5= Don't know; -99= N/A ; 77= Refused ; 88= Missing","afbh,ambh,chrpds_pds_2_p,pds2,pds_2_p,pds_2_pv,pds_3b,pds_3g,pds_bdyhair_y,pds_cv_2_boy,pds_cv_2_girl,pds_hair,pds_p_2,pds_pr_2,pds_q2,pds_sub_2,peterson_fem_bodyhair,peterson_male_bodyhair,pfbh,pmbh,pubc3,puberty_2,pubp3,pufe_002t,puma_002t"
"pds_3","Integer","","Recommended","","C. Have you noticed any skin changes, such as pimples or acne? Would you say that you have not yet started to get acne, have barely started to get acne, acne is definitely underway, or that you have finished getting acne?. P.Have you noticed your child is experiencing any skin changes, such as pimples or acne...  
","1::5; -99; 77; 88","1= Not begun; 2 =Yes (barely); 3= Yes (definitely); 4= Development complete; 5= Don't know; -99= N/A ; 77= Refused ; 88= Missing","afs,ams,chrpds_pds_3_p,pds3,pds_3_p,pds_3_pv,pds_cv_3_boy,pds_cv_3_girl,pds_p_3,pds_pr_3,pds_q3,pds_skin,pds_skin2_y,pds_sub_3,peterson_fem_skin,peterson_male_skin,pfs,pms,pubc4,puberty_3,pubp4,pufe_003t,puma_003t"
"pds_4","Integer","","Recommended","","(for boys only) C.  Have you noticed a deepening of your voice? Would you say that your voice has not yet started to deepen, has barely started to deepen, deepening is definitely underway, or deepening is complete?. P. Have you noticed your son's voice deepening? ","1::5; -99; 77; 88","1= Not begun; 2 =Yes (barely); 3= Yes (definitely); 4= Development complete; 5= Don't know; -99= N/A ; 77= Refused ; 88= Missing","amv,chrpds_pds_m4_p,pds4ba,pds4m,pds_4_pv,pds_4b,pds_cv_4_boy,pds_m4_p,pds_m4_y,pds_p_b4,pds_pr_4,pds_qm4a,pds_sub_b4,pds_voice,pdsb_2,peterson_male_voice,pmv,pubc5,puberty_boys4,pubp5,puma_004t"
