"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"are1","Integer","","Recommended","My parent/caregiver teaches me that if I work hard I can overcome barriers in life","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are2","Integer","","Recommended","My parent/caregiver teaches me that belief in God helps with life struggles","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are3","Integer","","Recommended","My parent/caregiver teaches me the importance of education","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are4","Integer","","Recommended","My parent/caregiver teaches me what to do if I'm called a racist name","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are5","Integer","","Recommended","My parent/caregiver teaches me to stand up for myself","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are6","Integer","","Recommended","My maternal/paternal caregiver encourages me to have White friends","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are7","Integer","","Recommended","My maternal/paternal caregiver encourages me to get along with Whites","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are8","Integer","","Recommended","My maternal/paternal caregiver encourages me to have Black friends","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are9","Integer","","Recommended","My maternal/paternal caregiver teaches me that racism is present in America","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are10","Integer","","Recommended","My maternal/paternal caregiver shares their experiences of racism and discrimination with me","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are11","Integer","","Recommended","My maternal/paternal caregiver teaches me that Blacks don't always have the same opportunities as Whites","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are12","Integer","","Recommended","My maternal/paternal caregiver teaches me to be cautious when dealing with White people","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are13","Integer","","Recommended","My maternal/paternal caregiver teaches me that a Black teen will be harassed because he or she is Black","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are14","Integer","","Recommended","My maternal/paternal caregiver has Black magazines like Essence, Ebony, Jet in the home","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are15","Integer","","Recommended","My maternal/paternal caregiver watches Black television shows","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are16","Integer","","Recommended","My maternal/paternal caregiver has Black art, sculptures, and pictures","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are17","Integer","","Recommended","My maternal/paternal caregiver reads books written by Black authors","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are18","Integer","","Recommended","My maternal/paternal caregiver teaches me about slavery in America","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are19","Integer","","Recommended","My maternal/paternal caregiver teaches me that knowing African history is important","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
"are20","Integer","","Recommended","My maternal/paternal caregiver teaches me that it is important to never forget slavery","1::4","1= Never; 2= A few times; 3= Lots of times; 4= Always",""
