"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"b1_1_ia_dwelltpercent_angry","Float","","Recommended","Average dwell percent on angry faces for Block 1","0.0::1.0","Decimal equivalent to % out of 100",""
"b1_1_ia_dwelltimeall_angry","Float","","Recommended","Average dwell time on angry faces (ms) for Block 1","","Milliseconds",""
"b2_2_ia_dwelltpercent_angry","Float","","Recommended","Average dwell percent on angry faces for Block 2","0.0::1.0","Decimal equivalent to % out of 100",""
"b2_2_ia_dwelltimeall_angry","Float","","Recommended","Average dwell time on angry faces (ms) for Block 2","","Milliseconds",""
