"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"museq1","Integer","","Recommended","My ears have played tricks on me","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
"museq2","Integer","","Recommended","Sounds were louder than they normally would be","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
"museq3","Integer","","Recommended","I thought of a song and could almost hear it with distinct clarity","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
"museq4","Integer","","Recommended","I was in a crowd or with other people and heard my name being called, only to find that I was mistaken","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
"museq5","Integer","","Recommended","I have heard my phone ring then found that it wasn't ringing at all","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
"museq6","Integer","","Recommended","I could hear sounds, music, or noises that other people could not hear","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
"museq7","Integer","","Recommended","I have heard a person's voice and then found that no-one was there","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
"museq8","Integer","","Recommended","My eyes have played tricks on me","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
"museq9","Integer","","Recommended","I found that lights or colors seem brighter or more intense than they normally would be","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
"museq10","Integer","","Recommended","I thought of people, objects, or landscapes, and could almost see their image in front of my eyes","0::4;-9","0= Never (never happened); 1= Hardly Ever (Once or twice in my life); 2= Rarely (Once or twice a year); 3= Occasionally (A few times a year); 4= Frequently (At least monthly); -9= Missing",""
