"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pn_pbq1","Integer","","Recommended","I feel close to my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq2","Integer","","Recommended","I wish the old days when I had no baby would come back.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq3","Integer","","Recommended","I feel distant from my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq4","Integer","","Recommended","I love to cuddle my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq5","Integer","","Recommended","I regret having this baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq6","Integer","","Recommended","The baby doesn't seem to be mine.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq7","Integer","","Recommended","My baby winds me up.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq8","Integer","","Recommended","I love my baby to bits.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq9","Integer","","Recommended","I feel happy when my baby smiles or laughs.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq10","Integer","","Recommended","My baby irritates me.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq11","Integer","","Recommended","I enjoy playing with my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq12","Integer","","Recommended","My baby cries too much.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq13","Integer","","Recommended","I feel trapped as a mother.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq14","Integer","","Recommended","I feel angry with my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq15","Integer","","Recommended","I resent my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq16","Integer","","Recommended","My baby is the most beautiful baby in the world.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq17","Integer","","Recommended","I wish my baby would somehow go away.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq18","Integer","","Recommended","I have done harmful things to my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq19","Integer","","Recommended","My baby makes me feel anxious.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq20","Integer","","Recommended","I am afraid of my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq21","Integer","","Recommended","My baby annoys me.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq22","Integer","","Recommended","I feel confident when caring for my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq23","Integer","","Recommended","I feel the only solution is for someone else to look after my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq24","Integer","","Recommended","I feel like hurting my baby.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq25","Integer","","Recommended","My baby is easily comforted.","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq13_alt","Integer","","Recommended","I feel trapped as a parent","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
"pn_pbq22_alt","Integer","","Recommended","I feel confident when changing my baby","0::5","0= Never; 1= Rarely; 2= Sometimes; 3= Quite often; 4= Very Often; 5= Always",""
