"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mx1_notready","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. I was not ready or motivated to change my drinking/drug use.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx2_domyself","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. I thought I could change and do it myself.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx3_rigid","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. People at meetings were too rigid about things.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx4_notcomfortable","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. I did not feel comfortable speaking at meetings.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx5_dislike_groups","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. I do not like crowds or large groups.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx6_hard_to_connect","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. It was hard to connect with people.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx7_repetitve","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. Meetings were just the same thing over and over again.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx8_same_stories","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. I did not like hearing the same stories over and over again.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx9_cut_down","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. I wanted to cut down, but not stop drinking/taking drugs completely.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx10_medication_issues","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. I did not feel comfortable talking at meetings about my medication issues.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx11_psy_probs","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. I did not feel comfortable talking at meetings about my psychiatric problems.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
"mx12_covid_fears","Integer","","Recommended","Please rate the extent to which each of the following factors was a barrier to attending meetings in the past 30 days. I was worried about covid.","1 :: 5;888","1= Not At All; 2= A Little; 3= Somewhat; 4= Very Much; 5= Extremely; 888= Hidden, No Answer",""
