"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"promis_ang1","Integer","","Recommended","In the past 7 days, I felt fed up","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_ang2","Integer","","Recommended","In the past 7 days, I felt mad (angry)","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_ang3","Integer","","Recommended","In the past 7 days, I felt upset (disturb)","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_ang4","Integer","","Recommended","In the past 7 days, I was so angry I felt like throwing something","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_ang5","Integer","","Recommended","In the past 7 days, I was so angry I felt like yelling at somebody","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_anx1","Integer","","Recommended","In the past 7 days, I felt like something awful might happen","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_anx2","Integer","","Recommended","In the past 7 days, I felt nervous","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_anx3","Integer","","Recommended","In the past 7 days, I felt scared","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_anx4","Integer","","Recommended","In the past 7 days, I felt worried","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_anx5","Integer","","Recommended","In the past 7 days, I worried when I was at home","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_anx6","Integer","","Recommended","In the past 7 days, I got scared really easy","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_anx7","Integer","","Recommended","In the past 7 days, I worried about what would happen to me","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
"promis_anx8","Integer","","Recommended","In the past 7 days, I worried when I went to bed at night","1::5;-99","1=Never (0%); 2=Almost never (1-20%); 3=Sometimes (21-49%); 4=Often (50-90%); 5=Almost Always (90-100%); -99= Missing",""
