"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"help_sg1","Integer","","Recommended","When they were upset, depressed or just needed to talk; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
"help_sg2","Integer","","Recommended","By trying to make them feel loved and cared for; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
"help_sg3","Integer","","Recommended","By offering moral support and encouragement; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
"help_sg4","Integer","","Recommended","By listening to their concerns; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
"help_sg5","Integer","","Recommended","By sharing your own experiences; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
"help_sg6","Integer","","Recommended","By just spending time with them when they needed it; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
"help_sg7","Integer","","Recommended","When they were sick or injured; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
"help_sg8","Integer","","Recommended","With food, clothing, or a loan to get by; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
"help_sg9","Integer","","Recommended","With advice or information to get a job; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
"help_sg10","Integer","","Recommended","With running errands; in the past month, how often did YOU HELP any family, friends or neighbors?","0 :: 2","0 = Never or NA; 1 = Sometimes; 2 = Frequently",""
