"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"epoch_good_1","Integer","","Recommended","When something good happens to me, I have people who I like to share the good news with.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_problem_2","Integer","","Recommended","When I have a problem, I have someone who will be there for me.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_care_3","Integer","","Recommended","There are people in my life who really care about me.","1::5;-1","1=Not at all like me; 2=A little like me; 3=Somewhat like me; 4=Mostly like me; 5=Very much like me; -1=Refused to answer",""
"epoch_friends_4","Integer","","Recommended","I have friends that I really care about.","1::5;-1","1=Not at all like me; 2=A little like me; 3=Somewhat like me; 4=Mostly like me; 5=Very much like me; -1=Refused to answer",""
"epoch_finish_5","Integer","","Recommended","I finish whatever I begin.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_future_6","Integer","","Recommended","I am optimistic about my future.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_happy_7","Integer","","Recommended","I feel happy.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_time_8","Integer","","Recommended","When I do an activity, I enjoy it so much that I lose track of time.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_fun_9","Integer","","Recommended","I have a lot of fun.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_absorbed_10","Integer","","Recommended","I get completely absorbed in what I am doing.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_lovelife_11","Integer","","Recommended","I love life.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_school_12","Integer","","Recommended","I keep at my schoolwork until I am done with it.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_involved_13","Integer","","Recommended","I get so involved in activities that I forget about everything else.","1::5;-1","1=Almost never; 2=Sometimes; 3=Often; 4=Very Often; 5=Almost Always; -1=Refused to answer",""
"epoch_learn_14","Integer","","Recommended","When I am learning something new, I lose track of how much time has passed.","1::5;-1","1=Not at all like me; 2=A little like me; 3=Somewhat like me; 4=Mostly like me; 5=Very much like me; -1=Refused to answer",""
"epoch_uncertain_15","Integer","","Recommended","In uncertain times, I expect the best.","1::5;-1","1=Not at all like me; 2=A little like me; 3=Somewhat like me; 4=Mostly like me; 5=Very much like me; -1=Refused to answer",""
"epoch_goodthings_16","Integer","","Recommended","I think good things are going to happen to me.","1::5;-1","1=Not at all like me; 2=A little like me; 3=Somewhat like me; 4=Mostly like me; 5=Very much like me; -1=Refused to answer",""
"epoch_plan_17","Integer","","Recommended","Once I make a plan to get something done, I stick to it.","1::5;-1","1=Not at all like me; 2=A little like me; 3=Somewhat like me; 4=Mostly like me; 5=Very much like me; -1=Refused to answer",""
"epoch_believe_18","Integer","","Recommended","I believe things will work out no matter how hard they seem.","1::5;-1","1=Not at all like me; 2=A little like me; 3=Somewhat like me; 4=Mostly like me; 5=Very much like me; -1=Refused to answer",""
"epoch_hardwork_19","Integer","","Recommended","I am a hard worker.","1::5;-1","1=Not at all like me; 2=A little like me; 3=Somewhat like me; 4=Mostly like me; 5=Very much like me; -1=Refused to answer",""
"epoch_cheerful_20","Integer","","Recommended","I am a cheerful person.","1::5;-1","1=Not at all like me; 2=A little like me; 3=Somewhat like me; 4=Mostly like me; 5=Very much like me; -1=Refused to answer",""
