"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mdss1","Integer","","Recommended","My friends expected me to be constantly available online.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss2","Integer","","Recommended","For my friends, it was important that I was constantly available online.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss3","Integer","","Recommended","Most of my friends approved of me being constantly available online.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss4","Integer","","Recommended","I felt a social obligation to be constantly available online.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss5","Integer","","Recommended","I was nervous about how people would respond to my posts and photos.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss6","Integer","","Recommended","I felt anxious about how others would respond when I shared a new photo on social media.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss7","Integer","","Recommended","I felt nervous after I shared a post or photo to see how others responded to it.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss8","Integer","","Recommended","I felt nervous about how others would respond when I posted new updates on social media.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss9","Integer","","Recommended","I put a lot of effort into finding or creating a photo that others would approve of when I posted it online.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss10","Integer","","Recommended","I put a lot of effort into composing messages and posts I shared online.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss11","Integer","","Recommended","I feared my friends were having more rewarding experiences than me.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss12","Integer","","Recommended","I feared that others had more rewarding experiences than me.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss13","Integer","","Recommended","I got worried when I found out my friends were having fun without me.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss14","Integer","","Recommended","I got anxious when I didn't know what my friends were up to.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss15","Integer","","Recommended","I had to check too many notifications.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss16","Integer","","Recommended","I felt overwhelmed with the flow of messages/notifications on my phone.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss17","Integer","","Recommended","It felt like there was always a reminder, like a flashing light or buzz, that there was some other message that I needed to attend to.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss18","Integer","","Recommended","I felt stressed because I had to sift through a lot of unimportant notifications to get to the important ones.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss19","Integer","","Recommended","On top of the other things I had to do, keeping up with notifications was a chore.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss20","Integer","","Recommended","I spent too much time responding to notifications/messages.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss21","Integer","","Recommended","I had to have my phone with me to know what was going on.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss22","Integer","","Recommended","I felt lost or ''naked'' without my phone.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss23","Integer","","Recommended","I was constantly checking my phone for messages/notifications.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
"mdss24","Integer","","Recommended","I felt socially unavailable when I did not have my phone.","1::5","1=Never; 2=Rarely; 3= Sometimes; 4=Often; 5=Always",""
