"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"afse1","Integer","","Recommended","My life matters.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse2","Integer","","Recommended","My life will make a difference in the world.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse3","Integer","","Recommended","What I can achieve gives me value.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse4","Integer","","Recommended","I am valuable because I am me.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse5","Integer","","Recommended","I am the leader of my destiny.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse6","Integer","","Recommended","I hate being me.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse7","Integer","","Recommended","I have the ability to make my life what I want it to be.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse8","Integer","","Recommended","I was born to make a positive difference in the world.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse9","Integer","","Recommended","I have the power to define myself.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse10","Integer","","Recommended","No one can break my spirit.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse11","Integer","","Recommended","I believe in myself.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse12","Integer","","Recommended","Learning about my Black and African history is very important to me.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse13","Integer","","Recommended","Being of African Heritage has very little to do with how I feel about myself.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse14","Integer","","Recommended","Adults in my life have talked to me about my African heritage, such as its history, traditions, and customs.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse15","Integer","","Recommended","I participate in Black and African cultural events like Kwanzaa and Black history month.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
"afse16","Integer","","Recommended","I feel proud of my Black and African history and culture.","1::4","1= Really Disagree; 2= Kind of Disagree; 3= Kind of Agree; 4= Really Agree",""
