"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"genetic_kowledge_01","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: It is possible to see a gene with the naked eye.","0;1","0=False; 1=True",""
"genetic_kowledge_02","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: Healthy parents can have a child with a hereditary disease.","0;1","0=False; 1=True",""
"genetic_kowledge_03","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: The onset of certain diseases is due to genes, environment and lifestyle.","0;1","0=False; 1=True",""
"genetic_kowledge_04","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: The carrier of a disease gene may be completely healthy.","0;1","0=False; 1=True",""
"genetic_kowledge_05","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: All serious diseases are hereditary.","0;1","0=False; 1=True",""
"genetic_kowledge_06","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: Genes are inside cells.","0;1","0=False; 1=True",""
"genetic_kowledge_07","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: The child of a disease gene carrier is always also a carrier of the same disease.","0;1","0=False; 1=True",""
"genetic_kowledge_08","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: A gene is a piece of DNA.","0;1","0=False; 1=True",""
"genetic_kowledge_09","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: A gene is part of a chromosome.","0;1","0=False; 1=True",""
"genetic_kowledge_10","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: All body parts have all of the same genes.","0;1","0=False; 1=True",""
"genetic_kowledge_11","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: It has been estimated that a person has about 20,000 genes.","0;1","0=False; 1=True",""
"genetic_kowledge_12","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: A person's race and ethnicity can affect how likely they are to get a disease.","0;1","0=False; 1=True",""
"genetic_kowledge_13","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: Each of us has variations in our genes that make it more likely that we will get certain diseases.","0;1","0=False; 1=True",""
"genetic_kowledge_14","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: A ''complex disease'' is a health condition brought on by many genes and lifestyle and environment.","0;1","0=False; 1=True",""
"genetic_kowledge_15","Integer","","Recommended","Please indicate whether you think each of the following statements is true or false: A single nucleotide polymorphism or ''SNiP'' is a variation present in some individuals that stretches across a large section of DNA.","0;1","0=False; 1=True",""
