"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bal_pro1","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP would mean I have more freedom to choose when to use and not use condoms.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro2","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP would make me feel more in control of my sexual health.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro3","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP would help me feel less inhibited and ''let go.''","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro4","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP would be a reason to get tested for HIV and other sexually transmitted infections more often.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro5","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP would be an extra layer of protection against HIV.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro6","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP seems like the responsible thing to do.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro7","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP seems like the ''normal'' thing for an HIV-negative guy to do.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro8","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP would help me protect my sexual partners from HIV.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro9","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP means I no longer have to worry about asking my partner's HIV status.","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
"bal_pro10","Integer","","Recommended","How important is each statement to you when making decisions to use or not use PrEP? Taking PrEP makes testing for STIs part of routine health care (as opposed to only tested screened when something is wrong).","1::4;-10","0=Not at all important; 1=Slightly important; 2=Moderately important; 3=Very important; 4=Extremely important; -10=Missing",""
