"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"but_a1","Integer","","Recommended","I spend a lot of time in front of the mirror","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a2","Integer","","Recommended","I don't trust my appearance: I'm afraid it will change suddenly","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a3","Integer","","Recommended","I like those clothes which hide my body","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a4","Integer","","Recommended","I spend a lot of time thinking about some defects of my physical appearance","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a5","Integer","","Recommended","When I undress, I avoid a looking at myself","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a6","Integer","","Recommended","I think my life would change significantly if I could correct some of my aesthetic defects","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a7","Integer","","Recommended","Eating with others causes me anxiety","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a8","Integer","","Recommended","The thought of some defects of my body torments me so much that it prevents me being with others","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a9","Integer","","Recommended","I'm terrified of putting on weight","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a10","Integer","","Recommended","I make detailed comparisons between my appearance and that of others","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a11","Integer","","Recommended","If I begin to look at myself, I find it difficult to stop","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a12","Integer","","Recommended","I would do anything to change some parts of my body","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a13","Integer","","Recommended","I stay at home and avoid others seeing me","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a14","Integer","","Recommended","I am ashamed of the physical needs of my body","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a15","Integer","","Recommended","I feel I am laughed at because of my appearance","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a16","Integer","","Recommended","The thought of some defects of my body torments me so much that it prevents me studying or working","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a17","Integer","","Recommended","I look in the mirror for an image of myself which satisfies me and I continue to search until I am sure I have found it","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a18","Integer","","Recommended","I feel I am fatter than others tell me","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a19","Integer","","Recommended","I avoid mirrors","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a20","Integer","","Recommended","I have the impression that my image is always different","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a21","Integer","","Recommended","I would like to have a thin and bony body","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a22","Integer","","Recommended","I am dissatisfied with my appearance","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a23","Integer","","Recommended","My physical appearance is dissappointing compared to my ideal image","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a24","Integer","","Recommended","I would like to undergo plastic surgery","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a25","Integer","","Recommended","I can't stand the idea of living with the appearance I have","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a26","Integer","","Recommended","I look at myself in the mirror and have a sensation of uneasiness and strangeness","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a27","Integer","","Recommended","I am afraid that my body will change against my will, in a way I don't like","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a28","Integer","","Recommended","I feel detached from my body","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a29","Integer","","Recommended","I have the sensation that my body does not belong to me","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a30","Integer","","Recommended","The thought of some defects of my body torments me so much that it prevents me having a sexual life","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a31","Integer","","Recommended","I observe myself in what I do and ask myself how I seem to others","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a32","Integer","","Recommended","I would like to decide what appearance to have","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a33","Integer","","Recommended","I feel different to how others see me","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_a34","Integer","","Recommended","I am ashamed of my body","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b1","Integer","","Recommended","Of my body, in particular, I hate: height","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b2","Integer","","Recommended","Of my body, in particular, I hate: the shape of my head","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b3","Integer","","Recommended","Of my body, in particular, I hate: the shape of my face","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b4","Integer","","Recommended","Of my body, in particular, I hate: skin","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b5","Integer","","Recommended","Of my body, in particular, I hate: hair","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b6","Integer","","Recommended","Of my body, in particular, I hate: forehead","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b7","Integer","","Recommended","Of my body, in particular, I hate: eyebrows","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b8","Integer","","Recommended","Of my body, in particular, I hate: eyes","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b9","Integer","","Recommended","Of my body, in particular, I hate: nose","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b10","Integer","","Recommended","Of my body, in particular, I hate: lips","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b11","Integer","","Recommended","Of my body, in particular, I hate: mouth","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b12","Integer","","Recommended","Of my body, in particular, I hate: teeth","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b13","Integer","","Recommended","Of my body, in particular, I hate: ears","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b14","Integer","","Recommended","Of my body, in particular, I hate: neck","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b15","Integer","","Recommended","Of my body, in particular, I hate: chin","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b16","Integer","","Recommended","Of my body, in particular, I hate: moustache","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
"but_b17","Integer","","Recommended","Of my body, in particular, I hate: beard","0::5","0= Never; 1= Seldom; 2= Sometimes; 3= Often; 4= Very Often; 5= Always",""
