"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ambi_1","Integer","","Recommended","Rarely worry.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_1"
"ambi_2","Integer","","Recommended","Often eat too much.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_2"
"ambi_3","Integer","","Recommended","Usually like to spend my free time with people.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_3"
"ambi_4","Integer","","Recommended","Take charge.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_4"
"ambi_5","Integer","","Recommended","Am always busy.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_5"
"ambi_6","Integer","","Recommended","Radiate joy.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_6"
"ambi_7","Integer","","Recommended","Do not like poetry.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_7"
"ambi_8","Integer","","Recommended","Distrust people.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_8"
"ambi_9","Integer","","Recommended","Tell other people what they want to hear so that they will do what I want them to do.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_9"
"ambi_10","Integer","","Recommended","Anticipate the needs of others.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w1_10"
