"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cib1","Integer","","Recommended","Forcing-Physical Manipulation - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib2","Integer","","Recommended","Overriding - Intrusiveness - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib3","Integer","","Recommended","Acknowledging - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib4","Integer","","Recommended","Imitating - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib5","Integer","","Recommended","Elaborating - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib6","Integer","","Recommended","Parent Gaze - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib7","Integer","","Recommended","Positive Affect - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib8","Integer","","Recommended","Parent Depressed Mood - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib9","Integer","","Recommended","Parent Negative Affect - Anger - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib10","Integer","","Recommended","Hostility - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib11","Integer","","Recommended","Vocal Appropriateness, Clarity - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib12","Integer","","Recommended","Parent Anxiety - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib13","Integer","","Recommended","Appropriate Range of Affect - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib14","Integer","","Recommended","Consistency of Style - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib15","Integer","","Recommended","Resourcefulness - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib16","Integer","","Recommended","On-Task Persistence - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib17","Integer","","Recommended","Appropriate Structure, Limit-Setting - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib18","Integer","","Recommended","Praising - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib19","Integer","","Recommended","Criticizing - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
"cib20","Integer","","Recommended","Affectionate Touch - Parent Scale","1::5; 888","1=Low; 2=Toward low; 3=Medium; 4=Toward high; 5=High; 888=Missing",""
