"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"expectations_1","Integer","","Recommended","Likelihood child will graduate with regular HS diploma?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_2","Integer","","Recommended","Likelihood child will attend post-secondary school (formal education after high school)?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_3","Integer","","Recommended","Likelihood child will graduate from post-secondary school (formal education after high school)?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_4","Integer","","Recommended","Likelihood child will graduate from 2 year college?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_5","Integer","","Recommended","Likelihood child will graduate from 4 year college?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_6","Integer","","Recommended","Likelihood child will get a drivers license?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_7","Integer","","Recommended","Likelihood child will get a paid job?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_8","Integer","","Recommended","Likelihood child will have competitive part-time employment?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_9","Integer","","Recommended","Likelihood child will have competitive full-time employment?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_10","Integer","","Recommended","Likelihood child will be able to support themselves financially?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_11","Integer","","Recommended","Likelihood child will live independently WITHOUT supervision?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_12","Integer","","Recommended","Likelihood child will live independently WITH supervision?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_13","Integer","","Recommended","Likelihood child will live with family members?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
"expectations_14","Integer","","Recommended","Likelihood child will have regular social outings with friends?","0 :: 3","0 = Definitely Will ; 1 = Probably Will ; 2 = Probably Won't ; 3 = Definitely Won't",""
