"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments","String","4000","Recommended","","Comments about assessment","","",""
"piptq_1","String","4000","Recommended","","Describe peer.","","",""
"piptq_2","Integer","","Recommended","","How well did [name of peer] listen to your suggestions?","1::5","1 = not at all; 5 = the most",""
"piptq_3","Integer","","Recommended","","How open was [name of peer] to new ideas?","1::5","1 = not at all; 5 = the most",""
"piptq_4","Integer","","Recommended","","How helpful were [name of peer]'s suggestions?","1::5","1 = not at all; 5 = the most",""
"piptq_5","Integer","","Recommended","","How helpful did [name of peer] think your suggestions were?","1::5","1 = not at all; 5 = the most",""
"piptq_6","Integer","","Recommended","","How well did you work together?","1::5","1 = not at all; 5 = the most",""
"piptq_7","Integer","","Recommended","","How how much did you agree about what should go on the list?","1::5","1 = not at all; 5 = the most",""
"piptq_8","Integer","","Recommended","","How much does [name of peer] like the same [topic of list] as you?","1::5","1 = not at all; 5 = the most",""
"piptq_9","Integer","","Recommended","","Were there [topic of list] you liked but your partner didn't?","0;1","0= No; 1= Yes",""
"piptq_10","String","250","Recommended","piptq_9 == 'Y'","Were there [topic of list] you liked but your partner didn't? If so, which?","","",""
"piptq_11","Integer","","Recommended","","Were there [topic of list] your partner liked but you didn't?","0;1","0= No; 1= Yes",""
"piptq_12","String","250","Recommended","piptq_11 == 'Y'","Were there [topic of list] your partner liked but you didn't? If so, which?","","",""
"piptq_13","Integer","","Recommended","","[Name of peer] and I have similar interests.","1::5","1 = strongly disagree; 5 = strongly agree",""
"piptq_14","Integer","","Recommended","","[Name of peer] and I communicated well.","1::5","1 = strongly disagree; 5 = strongly agree",""
"piptq_15","Integer","","Recommended","","[Name of peer] understands my ideas, thoughts, and feelings.","1::5","1 = strongly disagree; 5 = strongly agree",""
"piptq_16","Integer","","Recommended","","I felt self-conscious when interacting with [name of peer].","1::5","1 = strongly disagree; 5 = strongly agree",""
"piptq_17","Integer","","Recommended","","I understand [name of peer]'s ideas, thoughts, and feelings.","1::5","1 = strongly disagree; 5 = strongly agree",""
"piptq_18","Integer","","Recommended","","[Name of peer] and I have similar views about many things.","1::5","1 = strongly disagree; 5 = strongly agree",""
"piptq_19","Integer","","Recommended","","I'm concerned about how [name of peer] perceives me.","1::5","1 = strongly disagree; 5 = strongly agree",""
"piptq_20","Integer","","Recommended","","[Name of peer] and I have a lot in common.","1::5","1 = strongly disagree; 5 = strongly agree",""
"piptq_21","Integer","","Recommended","","How well did you interaction with [name of peer] go overall?","1::5","1 = not at all; 5 = the most",""
"piptq_22","Integer","","Recommended","","How much did you enjoy your interaction overall?","1::5","1 = not at all; 5 = the most",""
"piptq_23","Integer","","Recommended","","How awkward did you feel when interacting with [name of peer]?","1::5","1 = not at all; 5 = the most",""
"piptq_24","Integer","","Recommended","","How much would you want to continue a friendship with [name of peer] outside of the lab?","1::5","1 = not at all; 5 = the most",""
"piptq_25","Integer","","Recommended","","How well does [name of peer] think your interaction went overall?","1::5","1 = not at all; 5 = the most",""
"piptq_26","Integer","","Recommended","","How much did [name of peer] enjoy your interaction overall?","1::5","1 = not at all; 5 = the most",""
"piptq_27","Integer","","Recommended","","How much would [name of peer] want to continue a friendship with you outside of the lab?","1::5","1 = not at all; 5 = the most",""
"piptq_28","Integer","","Recommended","","How nervous did you feel when intacting with [name of peer]?","1::5","1 = not at all; 5 = the most",""
"piptq_29","Integer","","Recommended","","How nervous did you feel when interacting with the experimenter?","1::5","1 = not at all; 5 = the most",""
"piptq_30","String","200","Recommended","","Is there any feedback you want to give the researchers about your session today?","","",""
"piptq_31","Integer","","Recommended","","A global rating of rapport during conversation/interaction is determined from participants affect, conversation skills, echolalia, and eye contact.","1::5","1 = Behaviors during interaction make it difficult for the peer to continue the interaction; does not flexibly modulate behaviors in response to peer. 2 = A few times when behaviors during interaction promote the continuation of the interaction, but mostly behaviors that make the interaction difficult to continue. 3 = Behaviors promoting the continuation of the interaction present about half the time. 4 = A few times when behaviors make the interaction difficult to continue, but mostly actions promoting the continuation of the interaction. 5 = Behaviors during interaction promote the continuation of the interaction; flexibly responding to peer.",""
"piptq_32","Integer","","Recommended","","Rate social ease on 5-point scale, based on behaviors indicating comfort versus discomfort during the interaction.","1::5","1=Appears uncomfortable during social interaction; displays anxious behavior most of the time; little to no spontaneous affect, 5=Displays comfort during social interaction, including flexible affect and no anxious behaviors.",""
"post_discuss_8","Integer","","Recommended","","My friend could tell I really cared about them.","1::7","1= Not at all; 7= Extremely",""
"post_discuss_9","Integer","","Recommended","","My friend felt happy about the interaction we just had.","1::7","1= Not at all; 7= Extremely",""
"post_discuss_10","Integer","","Recommended","","My friend feels satisfied with our friendship.","1::7","1= Not at all; 7= Extremely",""
"post_discuss_1","Integer","","Recommended","","I felt supported by my friend.","1::7","1= Not at all; 7= Extremely",""
"post_discuss_2","Integer","","Recommended","","I felt better after talking to my friend about my problem.","1::7","1= Not at all; 7= Extremely",""
"post_discuss_3","Integer","","Recommended","","I could tell my friend really cared about me.","1::7","1= Not at all; 7= Extremely",""
"post_discuss_4","Integer","","Recommended","","I felt happy about the interaction I just had with my friend.","1::7","1= Not at all; 7= Extremely",""
"post_discuss_5","Integer","","Recommended","","I feel satisfied with our friendship.","1::7","1= Not at all; 7= Extremely",""
"post_discuss_6","Integer","","Recommended","","My friend felt supported by me.","1::7","1= Not at all; 7= Extremely",""
"post_discuss_7","Integer","","Recommended","","My friend felt better after talking to me about their problem.","1::7","1= Not at all; 7= Extremely",""
