"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","InterviewYear"
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","adi_age"
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"relationship","Integer","","Recommended","","Relationship of respondent to individual","1::96;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator; 96 = Legal guardian",""
"early_intervent","String","5","Recommended","","Does your child attend an early intervention, center-based preschool program","Yes;No; NA","NA = Not applicable","Service_Preschool"
"service_regulared","String","5","Recommended","","Regular Education","Yes; No","",""
"service_specialed","String","5","Recommended","","Special Education","Yes; No","",""
"service_occupation","String","5","Recommended","","Occupational Therapy","Yes; No","",""
"service_physical","String","5","Recommended","","Physical Therapy","Yes; No","",""
"service_speech","String","5","Recommended","","Speech Therapy","Yes; No","",""
"service_other","String","5","Recommended","","Other","Yes; No","",""
"service_otherx","String","50","Recommended","","If other please specify","","",""
"child_mentalret","String","50","Recommended","","Does (did) the Child have Mental Retardation?","Yes;No","","Condition_Retardation"
"othmem_learndis","String","50","Recommended","","Learning Disability","Yes;No","","Condition_Learning"
"condition_speech","String","5","Recommended","","Speech or Lanuage Impairment","Yes; No","Y = Checked",""
"child_pddnos","String","50","Required","","Does the Child have PDD-NOS (Pervasive Development Disorder-Not Otherwise Specified)?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Condition_PDD"
"child_aspergers","String","50","Required","","Does the Child have Asperger's Syndrome?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Condition_Asperger"
"condition_emotion","String","5","Recommended","","Emotional Disturbance or Serious Behavioral Difficulities","Yes; No","",""
"attentiondisorder","Integer","","Recommended","","Does (did) the subject have Attention Deficit Disorder +/- Hyperactivity?","0;1;2","0 = No/False; 1 = Yes/True; 2 = Unknown","Condition_ADHD"
"vis_blind","String","10","Recommended","","Significant visual loss or congenital blindness","Yes; No; NK","NK = Not known","Condition_Visual"
"hear_loss","String","10","Required","","Deafness or significant hearing loss","Yes;No;NK","NK = Not known","Condition_Hearing"
"child_cerpalsy","String","50","Required","","Does (did) the Child have Cerebral Palsy?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Condition_Cerebral"
"child_fragilex","String","50","Required","","Does (did) the Child have Fragile X?","Yes;No;999","999=NA/missing","Condition_FragileX"
"touret","String","10","Required","","Tourette Syndrome","Yes; No; NK; NS","NK= Not known; NS = Not sure","Condition_Tic"
"condition_disabilities","String","5","Recommended","","Multiple Disabilities","Yes; No","Y = Checked",""
"condition_traumatic","String","5","Recommended","","traumatic Brain Injury","Yes; No","Y = Checked",""
"condition_neurological","String","5","Recommended","","Other Neurological Disorder","Yes; No","Y = Checked",""
"condition_health","String","5","Required","","""Other Health Conditions (e.g., cardiac disorder, asthma)""","Yes; No;999","Y = Checked",""
"condition_other","String","5","Recommended","","Other","Yes; No","Y = Checked",""
"condition_otherx","String","50","Recommended","","If other please specify","","",""
"sensory_i_4","Integer","","Recommended","","4. My child's behavior deteriorates when the schedule changes.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_1"
"sensory_t_2","Integer","","Recommended","","2. My child avoids playing with others.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA",""
"sensory_t_3","Integer","","Recommended","","3. My child withdraws from situations.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA",""
"sensory_i_7","Integer","","Recommended","","7. I have to speak loudly to get my child's attention.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_4"
"sensory_i_9","Integer","","Recommended","","9. I have to touch my child to gain attention.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_5"
"sensory_i_11","Integer","","Recommended","","11. My child enjoys making sounds with his/her mouth.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_6"
"sensory_i_12","Integer","","Recommended","","12. My child takes a long time to respond even to familiar voices.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_7"
"sensory_i_13","Integer","","Recommended","","13. My child startles easily at sound compared to other children the same age.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_8"
"sensory_i_14","Integer","","Recommended","","14. My child is distracted and/or has difficulty eating in noisy environments.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_9"
"sensory_i_15","Integer","","Recommended","","15. My child ignores me when I am talking.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_10"
"sensory_t_11","Integer","","Recommended","","11. My child tries to escape from noisy environments.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA",""
"sensory_t_12","Integer","","Recommended","","12. My child finds ways to make noise with toys.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA",""
"sensory_t_13","Integer","","Recommended","","13. lt takes a long time tor my child to respond to his/her name when it is called.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA",""
"sensory_i_16","Integer","","Recommended","","16. My child enjoys looking at moving or spinning objects (for example ceiling fans toys with wheels floor fans).","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_14"
"sensory_i_17","Integer","","Recommended","","17. My child enloys looking at shiny objects.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_15"
"sensory_i_20","Integer","","Recommended","","20. My child avoids eye contact with me.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_16"
"sensory_t_17","Integer","","Recommended","","17. My child refuses to look at books with me.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA",""
"sensory_t_18","Integer","","Recommended","","18. My child does not recognize self in the mirror.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA",""
"sensory_t_19","Integer","","Recommended","","19. My child enjoys looking at own reflection in the mirror.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA",""
"sensory_t_20","Integer","","Required","","20. My child prefers fast-paced brightly colored TV shows.","1;2;3;4;5;999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never",""
"sensory_i_24","Integer","","Recommended","","24. My child resists being held.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_21"
"sensory_i_25","Integer","","Recommended","","25. My child becomes agitated when having hair washed.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_22"
"sensory_i_26","Integer","","Recommended","","26. My child avoids getting face/nose wiped.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_23"
"sensory_i_27","Integer","","Recommended","","27. My child is distressed when having nails trimmed.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_24"
"sensory_i_28","Integer","","Recommended","","28. My child resists being cuddled.","1 :: 5; 999","1 = Almost always; 2 = Frequently; 3 = Occasionally; 4 = Seldom; 5 = Almost never; 999 = NA","Sensory_T_25"
