"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pn_mses1","Integer","","Recommended","When your baby is upset, fussy, or crying, how good are you at soothing him or her?","1::4","1 = Not Good At All; 2 = Not Good Enough; 3 = Good Enough; 4 = Very Good",""
"pn_mses2","Integer","","Recommended","How good are you at understanding what your baby wants or needs?  For example, do you know when your baby needs to be changed or wants to be fed","1::4","1 = I don't understand my baby very well; 2 = I understand my baby some of the time; 3 = I understand my baby most of the time; 4 = I understand my baby almost all of the time",""
"pn_mses3","Integer","","Recommended","How good are you at making your baby understand what you want him/her to do?  For example, if you want your baby to eat or play quietly, how good are you at making her or him do that?","1::4","1 = Not Good At All; 2 = Not Good Enough; 3 = Good Enough; 4 = Very Good",""
"pn_mses4","Integer","","Recommended","How good are you at getting your baby to pay attention to you?  For example, when you want your baby to look at you, how good are you at making him or her do it?","1::4","1 = Not Good At All; 2 = Not Good Enough; 3 = Good Enough; 4 = Very Good",""
"pn_mses5","Integer","","Recommended","How good are you at getting your baby to have fun with you?  For example, how good are you at getting your baby to smile and laugh with you?","1::4","1 = Not Good At All; 2 = Not Good Enough; 3 = Good Enough; 4 = Very Good",""
"pn_mses6","Integer","","Recommended","How good are you at knowing what activities your baby will enjoy?  For example, how good are you at knowing what games and toys your baby will like to play with?","1::4","1 = Not Good At All; 2 = Not Good Enough; 3 = Good Enough; 4 = Very Good",""
"pn_mses7","Integer","","Recommended","How good are you at keeping your baby occupied when you need to do housework?  For example, how good are you at finding things for your baby to do when you need to do the dishes?","1::4","1 = Not Good At All; 2 = Not Good Enough; 3 = Good Enough; 4 = Very Good",""
"pn_mses8","Integer","","Recommended","How good do you feel you are at feeding, changing, and bathing your baby?","1::4","1 = Not Good At All; 2 = Not Good Enough; 3 = Good Enough; 4 = Very Good",""
"pn_mses9","Integer","","Recommended","How good are you at getting your baby to show off for visitors?  For example, how good are you at making your baby smile or laugh for people who visit?","1::4","1 = Not Good At All; 2 = Not Good Enough; 3 = Good Enough; 4 = Very Good",""
"pn_mses10","Integer","","Recommended","In general, how good a mother do you feel you are with your baby?","1::4","1 = Not Good At All; 2 = Not Good Enough; 3 = Good Enough; 4 = Very Good",""
