"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"waketrust_1","Integer","","Recommended","Your doctor will do whatever it takes to get all the care you need.","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
"waketrust_2","Integer","","Recommended","Sometimes your doctor cares more about what is convenient for [him or her] than your medical needs.","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
"waketrust_3","Integer","","Recommended","Your doctor's medical skills are not as good as they should be.","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
"waketrust_4","Integer","","Recommended","Your doctor is extremely thorough and careful.","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
"waketrust_5","Integer","","Recommended","Sometimes your doctor does not pay full attention to what you are trying to tell [him or her].","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
"waketrust_6","Integer","","Recommended","Your doctor is totally honest in telling you about all of the different treatment options available for your condition.","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
"waketrust_7","Integer","","Recommended","You completely trust your doctor's decisions about which medical treatments are best for you.","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
"waketrust_8","Integer","","Recommended","Your doctor only thinks about what is best for you.","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
"waketrust_9","Integer","","Recommended","You have no worries about putting your life in your doctor's hands.","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
"waketrust_10","Integer","","Recommended","All in all, you have complete trust in your doctor.","1::5; 99","1=Strongly agree, 2=Agree, 3=Neutral, 4=Disagree, 5=Strongly disagree, 99=Missing",""
