"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"vacc_consider_b_1","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? The COVID vaccine can affect your fertility.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_2","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? I need the COVID vaccine even if I've already had COVID.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_3","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? The COVID vaccine was developed too quickly.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_4","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? The COVID vaccine will protect me from being hospitalized with COVID.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_5","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? Getting the COVID vaccine gives you COVID.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_6","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? The side effects of the COVID vaccine are dangerous.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_7","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? The COVID vaccine changes your DNA.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_8","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? Staying up to date on COVID vaccine shots is important to stay protected from severe COVID disease.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_9","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? The technology used to make the COVID vaccine is too new to be safe.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_10","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? The COVID vaccine contains tracking devices, implants, or microchips.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
"vacc_consider_b_11","Integer","","Recommended","Do you agree with the following claims about the COVID vaccine? Receiving a COVID vaccine can make you magnetic.","1;2;98","1 = Agree; 2 = Disagree; 98 = Don't know",""
