"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"oei_1","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: When people intervene, they can prevent someone from being hurt.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
"oei_2","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: If one person doesn't intervene, someone else will.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
"oei_3","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: If someone intervenes, their friends will look up to them and admire them.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
"oei_4","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: Intervening might cost a person friendships.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
"oei_5","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: If a person intervenes, that person will feel like a leader in their community.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
"oei_6","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: If someone intervenes, that person will feel good about themselves for helping others.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
"oei_7","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: If someone intervenes, that person could get physically hurt.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
"oei_8","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: If someone intervenes, it would be embarrassing if nothing was really wrong.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
"oei_9","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: If one person intervenes, it will influence people around them to intervene.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
"oei_10","Integer","","Recommended","Please indicate how much you agree or disagree with each statement about what can happen when people INTERVENE: Someone could get in trouble by making the wrong decision about how to intervene.","1::7","1 = Strongly Disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neutral; 5 = Somewhat Agree; 6 = Agree; 7 = Strongly Agree",""
