"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sas_01","Integer","","Recommended","I feel shy around people I don't know","1::5","1= Not at all; 5= All the time",""
"sas_02","Integer","","Recommended","I worry about what others think of me","1::5","1= Not at all; 5= All the time",""
"sas_03","Integer","","Recommended","I'm afraid that others will not like me","1::5","1= Not at all; 5= All the time",""
"sas_04","Integer","","Recommended","I get nervous when I talk to peers I don't know very well","1::5","1= Not at all; 5= All the time",""
"sas_05","Integer","","Recommended","I worry what others say about me","1::5","1= Not at all; 5= All the time",""
"sas_06","Integer","","Recommended","I get nervous when I meet new people","1::5","1= Not at all; 5= All the time",""
"sas_07","Integer","","Recommended","I worry that others don't like me","1::5","1= Not at all; 5= All the time",""
"sas_08","Integer","","Recommended","I'm quiet when I'm with a group of people","1::5","1= Not at all; 5= All the time",""
"sas_09","Integer","","Recommended","I'm afraid to invite others to do things with me because they might say no","1::5","1= Not at all; 5= All the time",""
"sasa_10","Integer","","Recommended","I feel nervous when I'm around certain people","1::5","1= Not at all; 5= All the time",""
"sas_11","Integer","","Recommended","I feel shy even with peers I know very well","1::5","1= Not at all; 5= All the time",""
"sas_12","Integer","","Recommended","It's hard for me to ask others to do things with me","1::5","1= Not at all; 5= All the time",""
