"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ejq_1","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I get really emotionally involved with my friend's good news.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_2","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? It really makes me happy that the good event is making him/her feel good.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_3","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel very happy.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_4","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? It pleases me a lot that my friend has good news he/she is happy about.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_5","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel just like it is my own good news.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_6","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? It is hard for me to feel happy when we talk about my friend's good news.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_7","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel really happy for my friend.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_8","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel very excited about my friend's good news.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_9","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel like I share my friend's positive feelings over the news.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_10","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel as happy about my friend's news as if it were my own.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_11","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? It feels as though my friend's happy feelings become my happy feelings too.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_12","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel just as happy over the news as my friend does.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_13","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel really glad that my friend is happy about the news.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_14","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel very joyful for my friend.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_15","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? It makes me glad to see my friend happy.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_16","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? It is easy for me to feel good seeing my friend happy.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_17","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? I feel really delighted that things are going well for my friend.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"ejq_18","Integer","","Recommended","How well does each of the following statements describe how you felt when you were talking with your friend about your friend's good news? It makes me feel content to see my friend take pleasure in the good news.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
