"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"sqol18_001","Integer","","Recommended","I'm confident in life","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_002","Integer","","Recommended","I fight to succeed in my life","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_003","Integer","","Recommended","I'm able to plan for my professional or personal future","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_004","Integer","","Recommended","I feel in a good mood. I'm at ease with myself","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_005","Integer","","Recommended","I feel free to take decisions","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_006","Integer","","Recommended","I feel free to act","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_007","Integer","","Recommended","I make efforts to work","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_008","Integer","","Recommended","I'm in good physical shape","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_009","Integer","","Recommended","I'm full of energy","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_010","Integer","","Recommended","I'm helped, supported by my family","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_011","Integer","","Recommended","My family pays attention to me","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_012","Integer","","Recommended","I'm helped supported by my friends of my relatives","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_013","Integer","","Recommended","I have friends","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_014","Integer","","Recommended","I'm satisfied by my love life","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_015","Integer","","Recommended","I'm able to achieve my family and sentimental projects","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_016","Integer","","Recommended","I have difficulty concentrating, thinking straight","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_017","Integer","","Recommended","I feel myself cut-off from the outside world","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
"sqol18_018","Integer","","Recommended","I have difficulty expressing my feelings","1::5; -999","1=Much less than I'd prefer; 2=Less than I'd prefer; 3=Slightly less than I'd prefer; 4=As I'd prefer; 5=More than I'd prefer; -999=N/A, Don't Know, or missing",""
