"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bpi_general","Integer","","Recommended","General Activity","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_mood","Integer","","Recommended","Mood","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_mobile","Integer","","Recommended","Mobility (ability to get around)","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_school","Integer","","Recommended","School, work, or other chores","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_relation","Integer","","Recommended","Relations with other people","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_sleep","Integer","","Recommended","Sleep","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_enjoy","Integer","","Recommended","Enjoyment of life","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_self","Integer","","Recommended","Self care (taking care of your daily needs)","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_rec","Integer","","Recommended","Recreational activities","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_soci","Integer","","Recommended","Social activities","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_comm","Integer","","Recommended","Communication with others","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"bpi_learn","Integer","","Recommended","Learning new information","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"negative_thoughts","Integer","","Recommended","I avoid negative thoughts","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
"relaxed_stay","Integer","","Recommended","I try to stay relaxed","0::10","0 = Did not interfere at all; 10 = Completely interfered",""
